row_label_raw,row_label_full,col_0,Thuyết minh,Tỷ lệ vốn góp,Số cuối năm > Số cổ phiếu,Số cuối năm > Giá trị ghi sổ (VND),Số đầu năm > Số cổ phiếu,Số đầu năm > Giá trị ghi sổ (VND),numeric__Thuyết minh,numeric__Tỷ lệ vốn góp,numeric__Số cuối năm > Số cổ phiếu,numeric__Số cuối năm > Giá trị ghi sổ (VND),numeric__Số đầu năm > Số cổ phiếu,numeric__Số đầu năm > Giá trị ghi sổ (VND)
Công ty Cổ phần Công nghệ Viễn thông Sài Gòn,Công ty Cổ phần Công nghệ Viễn thông Sài Gòn,Công ty Cổ phần Công nghệ Viễn thông Sài Gòn,(i),"21,48%",15.896.923,423.492.661.074,15.896.923,423.492.661.074,,0.2148,15896923.0,423492661074.0,15896923.0,423492661074.0
Công ty Cổ phần Đầu tư Sài Gòn - Huế,Công ty Cổ phần Đầu tư Sài Gòn - Huế,Công ty Cổ phần Đầu tư Sài Gòn - Huế,(ii),-,-,-,9.849.000,210.627.000.000,,,,,9849000.0,210627000000.0
Công ty Cổ phần Scanviwood,Công ty Cổ phần Scanviwood,Công ty Cổ phần Scanviwood,(iii),34%,1.077.528,7.204.600.000,1.077.528,7.204.600.000,,0.34,1077528.0,7204600000.0,1077528.0,7204600000.0
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,,,,430.697.261.074,,641.324.261.074,,,,430697261074.0,,641324261074.0
Dự phòng giảm giá đầu tư vào công ty liên kết,Dự phòng giảm giá đầu tư vào công ty liên kết,Dự phòng giảm giá đầu tư vào công ty liên kết,,,,(326.254.836.964),,(371.921.339.307),,,,-326254836964.0,,-371921339307.0
GIÁ TRỊ THUÀN,GIÁ TRỊ THUÀN,GIÁ TRỊ THUÀN,,,,104.442.424.110,,269.402.921.767,,,,104442424110.0,,269402921767.0
