row_label_raw,row_label_full,Ngân hàng > Ngân hàng Thương mại Cổ phần Đầu tư và Phát triển Việt Nam – Chi nhánh Bắc Ninh > Ngân hàng Thương mại Cổ phần Công thương Việt Nam - Chi nhánh Quế Võ,Số cuối năm (VND) > 155.132.616.221 > 253.474.365.951 > 47.865.404.090,"Lãi suất > 10,5%/năm > 9,5% - 10%/năm > 10%/năm",Kỳ hạn trả gốc và lãi > Ngày trả nợ cuối cùng là ngày 19 tháng 6 năm 2023. Gốc trả 6 tháng một lần kể từ ngày 1 tháng 12 năm 2018. Lãi vay trả 3 tháng một lần kể từ ngày 19 tháng 9 năm 2018 > Ngày trả nợ cuối cùng là ngày 29 tháng 11 năm 2022. Gốc trả 6 tháng một lần kể từ ngày 25 tháng 5 năm 2018. Lãi vay trả 3 tháng 1 lần vào ngày 25. > Ngày trả nợ cuối cùng là ngày 16 tháng 11 năm 2022. Gốc trả 6 tháng một lần kể từ ngày 22 tháng 6 năm 2017. Lãi vay trả 3 tháng 1 lần vào ngày 25.,"Tài sản đảm bảo > Toàn bộ tài sản hình thành trong tương lai bao gồm quyền sử dụng đất và tài sản trên đất của Khu đô thị Phúc Ninh quy mô 22 ha. > Toàn bộ tài sản hình thành từ chi phí đầu tư mà Công ty đã đầu tư và sẽ đầu tư trong tương lai vào 100 ha giai đoạn 1 Khu công nghiệp Nam Sơn – Hạp Lĩnh và các quyền tài sản phát sinh từ các hợp đồng kinh tế phát sinh từ các giao dịch nhằm kinh doanh cơ sở hạ tầng, đất và tài sản gắn liền với đất của 100 ha giai đoạn 1 Khu công nghiệp Nam Sơn – Hạp Lĩnh. > Toàn bộ các tài sản hình thành từ dự án đầu tư xây dựng cơ sở hạ tầng Khu công nghiệp Quế Võ mở rộng 83,8 ha.",numeric__Số cuối năm (VND) > 155.132.616.221 > 253.474.365.951 > 47.865.404.090,"numeric__Lãi suất > 10,5%/năm > 9,5% - 10%/năm > 10%/năm",numeric__Kỳ hạn trả gốc và lãi > Ngày trả nợ cuối cùng là ngày 19 tháng 6 năm 2023. Gốc trả 6 tháng một lần kể từ ngày 1 tháng 12 năm 2018. Lãi vay trả 3 tháng một lần kể từ ngày 19 tháng 9 năm 2018 > Ngày trả nợ cuối cùng là ngày 29 tháng 11 năm 2022. Gốc trả 6 tháng một lần kể từ ngày 25 tháng 5 năm 2018. Lãi vay trả 3 tháng 1 lần vào ngày 25. > Ngày trả nợ cuối cùng là ngày 16 tháng 11 năm 2022. Gốc trả 6 tháng một lần kể từ ngày 22 tháng 6 năm 2017. Lãi vay trả 3 tháng 1 lần vào ngày 25.,"numeric__Tài sản đảm bảo > Toàn bộ tài sản hình thành trong tương lai bao gồm quyền sử dụng đất và tài sản trên đất của Khu đô thị Phúc Ninh quy mô 22 ha. > Toàn bộ tài sản hình thành từ chi phí đầu tư mà Công ty đã đầu tư và sẽ đầu tư trong tương lai vào 100 ha giai đoạn 1 Khu công nghiệp Nam Sơn – Hạp Lĩnh và các quyền tài sản phát sinh từ các hợp đồng kinh tế phát sinh từ các giao dịch nhằm kinh doanh cơ sở hạ tầng, đất và tài sản gắn liền với đất của 100 ha giai đoạn 1 Khu công nghiệp Nam Sơn – Hạp Lĩnh. > Toàn bộ các tài sản hình thành từ dự án đầu tư xây dựng cơ sở hạ tầng Khu công nghiệp Quế Võ mở rộng 83,8 ha."
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,456.472.386.262,,,,456472386262.0,,,
Trong đó:Vay dài hạn đến hạn trảVay dài hạn,Trong đó:Vay dài hạn đến hạn trảVay dài hạn,Trong đó:Vay dài hạn đến hạn trảVay dài hạn,140.000.000.000316.472.386.262,,,,1.4000000000031648e+23,,,
