row_label_raw,row_label_full,col_0,Số đầu năm > Giá trị,Số đầu năm > Số có khả năng trả nợ,Số phát sinh trong năm > Tăng,Số phát sinh trong năm > Giảm,Số cuối năm > Giá trị,Số cuối năm > Số có khả năng trả nợ,numeric__Số đầu năm > Giá trị,numeric__Số đầu năm > Số có khả năng trả nợ,numeric__Số phát sinh trong năm > Tăng,numeric__Số phát sinh trong năm > Giảm,numeric__Số cuối năm > Giá trị,numeric__Số cuối năm > Số có khả năng trả nợ
Vay ngắn hạn,Vay ngắn hạn,Vay ngắn hạn,Vay ngắn hạn,Vay ngắn hạn,Vay ngắn hạn,Vay ngắn hạn,Vay ngắn hạn,Vay ngắn hạn,,,,,,
Vay dài hạn ngân hàng đến hạn trả (Thuyết minh số 20.1),Vay ngắn hạn > Vay dài hạn ngân hàng đến hạn trả (Thuyết minh số 20.1),Vay dài hạn ngân hàng đến hạn trả (Thuyết minh số 20.1),138.935.305.750,138.935.305.750,53.000.000.000,(51.935.305.750),140.000.000.000,140.000.000.000,138935305750.0,138935305750.0,53000000000.0,-51935305750.0,140000000000.0,140000000000.0
Trái phiếu dài hạn đến hạn trả (Thuyết minh số 20.2),Vay ngắn hạn > Trái phiếu dài hạn đến hạn trả (Thuyết minh số 20.2),Trái phiếu dài hạn đến hạn trả (Thuyết minh số 20.2),557.100.000.000,557.100.000.000,910.249.545.453,(572.042.575.757),895.306.969.696,895.306.969.696,557100000000.0,557100000000.0,910249545453.0,-572042575757.0,895306969696.0,895306969696.0
Vay đổi tượng khác (Thuyết minh số 20.3),Vay ngắn hạn > Vay đổi tượng khác (Thuyết minh số 20.3),Vay đổi tượng khác (Thuyết minh số 20.3),-,-,450.000.000.000,-,450.000.000.000,450.000.000.000,,,450000000000.0,,450000000000.0,450000000000.0
Vay các bên liên quan (Thuyết minh số 29),Vay ngắn hạn > Vay các bên liên quan (Thuyết minh số 29),Vay các bên liên quan (Thuyết minh số 29),100.000.000.000,100.000.000.000,-,(100.000.000.000),-,-,100000000000.0,100000000000.0,,-100000000000.0,,
TỔNG CỘNG,Vay ngắn hạn > TỔNG CỘNG,TỔNG CỘNG,796.035.305.750,796.035.305.750,1.413.249.545.453,(723.977.881.507),1.485.306.969.696,1.485.306.969.696,796035305750.0,796035305750.0,1413249545453.0,-723977881507.0,1485306969696.0,1485306969696.0
Vay dài hạn,Vay dài hạn,Vay dài hạn,Vay dài hạn,Vay dài hạn,Vay dài hạn,Vay dài hạn,Vay dài hạn,Vay dài hạn,,,,,,
Vay ngân hàng (Thuyết minh số 20.1),Vay dài hạn > Vay ngân hàng (Thuyết minh số 20.1),Vay ngân hàng (Thuyết minh số 20.1),220.400.340.180,220.400.340.180,149.072.046.082,(53.000.000.000),316.472.386.262,316.472.386.262,220400340180.0,220400340180.0,149072046082.0,-53000000000.0,316472386262.0,316472386262.0
Trái phiếu phát hành (Thuyết minh số 20.2),Vay dài hạn > Trái phiếu phát hành (Thuyết minh số 20.2),Trái phiếu phát hành (Thuyết minh số 20.2),805.861.885.377,805.861.885.377,1.189.696.851.757,(944.114.325.976),1.051.444.411.158,1.051.444.411.158,805861885377.0,805861885377.0,1189696851757.0,-944114325976.0,1051444411158.0,1051444411158.0
Vay các bên liên quan (Thuyết minh số 29),Vay dài hạn > Vay các bên liên quan (Thuyết minh số 29),Vay các bên liên quan (Thuyết minh số 29),190.159.137.294,190.159.137.294,1.340.000.000.000,(4.000.000.000),1.526.159.137.294,1.526.159.137.294,190159137294.0,190159137294.0,1340000000000.0,-4000000000.0,1526159137294.0,1526159137294.0
TỔNG CỘNG,Vay dài hạn > TỔNG CỘNG,TỔNG CỘNG,1.216.421.362.851,1.216.421.362.851,2.678.768.897.839,(1.001.114.325.976),2.894.075.934.714,2.894.075.934.714,1216421362851.0,1216421362851.0,2678768897839.0,-1001114325976.0,2894075934714.0,2894075934714.0
