row_label_raw,row_label_full,Bên liên quan > Chi phí phải trả ngắn hạn(Thuyết minh số 18),Mối quan hệ > Chi phí phải trả ngắn hạn(Thuyết minh số 18),Nội dung nghiệp vụ > Chi phí phải trả ngắn hạn(Thuyết minh số 18),Số cuối năm > Chi phí phải trả ngắn hạn(Thuyết minh số 18),Số đầu năm > Chi phí phải trả ngắn hạn(Thuyết minh số 18),numeric__Mối quan hệ > Chi phí phải trả ngắn hạn(Thuyết minh số 18),numeric__Nội dung nghiệp vụ > Chi phí phải trả ngắn hạn(Thuyết minh số 18),numeric__Số cuối năm > Chi phí phải trả ngắn hạn(Thuyết minh số 18),numeric__Số đầu năm > Chi phí phải trả ngắn hạn(Thuyết minh số 18)
Công ty Cổ phần Khu Công nghiệp Sài Gòn – Bắc Giang,Công ty Cổ phần Khu Công nghiệp Sài Gòn – Bắc Giang,Công ty Cổ phần Khu Công nghiệp Sài Gòn – Bắc Giang,Công ty con,Lãi vay phải trả ngắn hạn,18.523.150.684,-,,,18523150684.0,
Công ty Cổ phần Đầu tư Vinatex – Tân Tạo,Công ty Cổ phần Đầu tư Vinatex – Tân Tạo,Công ty Cổ phần Đầu tư Vinatex – Tân Tạo,Công ty có chung thành viên quản lý chủ chốt,Lãi vay phải trả ngắn hạn,-,1.233.333.333,,,,1233333333.0
,,,,,18.523.150.684,1.233.333.333,,,18523150684.0,1233333333.0
Chi phí phải trả dài hạn(Thuyết minh số 18),Chi phí phải trả dài hạn(Thuyết minh số 18),Chi phí phải trả dài hạn(Thuyết minh số 18),Chi phí phải trả dài hạn(Thuyết minh số 18),Chi phí phải trả dài hạn(Thuyết minh số 18),Chi phí phải trả dài hạn(Thuyết minh số 18),Chi phí phải trả dài hạn(Thuyết minh số 18),,,,
Công ty Cổ phần Khu Công nghiệp Sài Gòn - Hải Phòng,Chi phí phải trả dài hạn(Thuyết minh số 18) > Công ty Cổ phần Khu Công nghiệp Sài Gòn - Hải Phòng,Công ty Cổ phần Khu Công nghiệp Sài Gòn - Hải Phòng,Công ty con,Lãi vay phải trả dài hạn,25.950.223.997,4.676.601.390,,,25950223997.0,4676601390.0
Công ty Cổ phần Khu Công nghiệp Sài Gòn – Bắc Giang,Chi phí phải trả dài hạn(Thuyết minh số 18) > Công ty Cổ phần Khu Công nghiệp Sài Gòn – Bắc Giang,Công ty Cổ phần Khu Công nghiệp Sài Gòn – Bắc Giang,Công ty con,Lãi vay phải trả dài hạn,38.185.083.511,884.787.633,,,38185083511.0,884787633.0
Công ty Cổ phần Đầu tư và Phát triển hạ tầng Khu công nghệ cao Sài Gòn,Chi phí phải trả dài hạn(Thuyết minh số 18) > Công ty Cổ phần Đầu tư và Phát triển hạ tầng Khu công nghệ cao Sài Gòn,Công ty Cổ phần Đầu tư và Phát triển hạ tầng Khu công nghệ cao Sài Gòn,Công ty có chung thành viên quản lý chủ chốt,Lãi vay phải trả dài hạn,945.879.723,909.879.723,,,945879723.0,909879723.0
,,,,,65.081.187.231,6.471.268.746,,,65081187231.0,6471268746.0
Phải trả ngắn hạn khác(Thuyết minh số 19),Phải trả ngắn hạn khác(Thuyết minh số 19),Phải trả ngắn hạn khác(Thuyết minh số 19),Phải trả ngắn hạn khác(Thuyết minh số 19),Phải trả ngắn hạn khác(Thuyết minh số 19),Phải trả ngắn hạn khác(Thuyết minh số 19),Phải trả ngắn hạn khác(Thuyết minh số 19),,,,
Công ty Cổ phần Khu Công nghiệp Sài Gòn – Bắc Giang,Phải trả ngắn hạn khác(Thuyết minh số 19) > Công ty Cổ phần Khu Công nghiệp Sài Gòn – Bắc Giang,Công ty Cổ phần Khu Công nghiệp Sài Gòn – Bắc Giang,Công ty con,Phải trả khác,858.000.000,858.000.000,,,858000000.0,858000000.0
,,,,,858.000.000,858.000.000,,,858000000.0,858000000.0
Vay ngắn hạn(Thuyết minh số 20),Vay ngắn hạn(Thuyết minh số 20),Vay ngắn hạn(Thuyết minh số 20),Vay ngắn hạn(Thuyết minh số 20),Vay ngắn hạn(Thuyết minh số 20),Vay ngắn hạn(Thuyết minh số 20),Vay ngắn hạn(Thuyết minh số 20),,,,
Công ty Cổ phần Đầu tư Vinatex – Tân Tạo,Vay ngắn hạn(Thuyết minh số 20) > Công ty Cổ phần Đầu tư Vinatex – Tân Tạo,Công ty Cổ phần Đầu tư Vinatex – Tân Tạo,Công ty có chung thành viên quản lý chủ chốt,Vay ngắn hạn,-,100.000.000.000,,,,100000000000.0
,,,,,-,100.000.000.000,,,,100000000000.0
