row_label_raw,row_label_full,col_0,Số cuối năm > Giá trị,Số cuối năm > Dự\( \text{phòng} \),Đơn vị tính: VND > Số đầu năm > Giá trị,Đơn vị tính: VND > Số đầu năm > Dự\( \text{phòng} \),numeric__Số cuối năm > Giá trị,numeric__Số cuối năm > Dự\( \text{phòng} \),numeric__Đơn vị tính: VND > Số đầu năm > Giá trị,numeric__Đơn vị tính: VND > Số đầu năm > Dự\( \text{phòng} \)
Dự án Khu Đô thị Phúc Ninh,Dự án Khu Đô thị Phúc Ninh,Dự án Khu Đô thị Phúc Ninh,1.065.107.703.958,-,985.923.800.098,-,1065107703958.0,,985923800098.0,
Dự án Khu công nghiệp Nam Son - Hạp Lĩnh,Dự án Khu công nghiệp Nam Son - Hạp Lĩnh,Dự án Khu công nghiệp Nam Son - Hạp Lĩnh,776.878.482.119,-,457.741.605.095,-,776878482119.0,,457741605095.0,
Hàng hóa biểu tặng,Hàng hóa biểu tặng,Hàng hóa biểu tặng,10.361.625.000,-,10.361.625.000,-,10361625000.0,,10361625000.0,
Dự án Khu công nghiệp Quế Võ mở rộng,Dự án Khu công nghiệp Quế Võ mở rộng,Dự án Khu công nghiệp Quế Võ mở rộng,-,-,1.640.142.933,-,,,1640142933.0,
Các dự án khác,Các dự án khác,Các dự án khác,13.147.207.278,-,13.147.207.278,-,13147207278.0,,13147207278.0,
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,1.865.495.018.355,-,1.468.814.380.404,-,1865495018355.0,,1468814380404.0,
