row_label_raw,row_label_full,col_0,Số cuối năm,Số cuối năm > DựGiá trị phòng,Đơn vị tính: VND > Số đầu năm,Đơn vị tính: VND > Số đầu năm_1,numeric__Số cuối năm,numeric__Số cuối năm > DựGiá trị phòng,numeric__Đơn vị tính: VND > Số đầu năm,numeric__Đơn vị tính: VND > Số đầu năm_1
Ngắn hạn,Ngắn hạn,Ngắn hạn,Ngắn hạn,Ngắn hạn,Ngắn hạn,Ngắn hạn,,,,
Phải thu Công ty Cổ phần Dịch vụ Kinh Bắc từ chuyển nhượng cổ phần (i),Ngắn hạn > Phải thu Công ty Cổ phần Dịch vụ Kinh Bắc từ chuyển nhượng cổ phần (i),Phải thu Công ty Cổ phần Dịch vụ Kinh Bắc từ chuyển nhượng cổ phần (i),248.880.217.500,-,233.506.720.919,-,248880217500.0,,233506720919.0,
Ứng trước cho Ngân hàng Thương mại Cổ phần Đại chúng Việt Nam (ii),Ngắn hạn > Ứng trước cho Ngân hàng Thương mại Cổ phần Đại chúng Việt Nam (ii),Ứng trước cho Ngân hàng Thương mại Cổ phần Đại chúng Việt Nam (ii),232.681.247.878,-,223.040.284.000,-,232681247878.0,,223040284000.0,
Phải thu từ Công ty Cổ phần Đầu tư Láng Hạ (iii),Ngắn hạn > Phải thu từ Công ty Cổ phần Đầu tư Láng Hạ (iii),Phải thu từ Công ty Cổ phần Đầu tư Láng Hạ (iii),69.296.882.771,-,26.200.890.711,-,69296882771.0,,26200890711.0,
Phải thu UBND tỉnh Bắc Ninh tiền hỗ trợ giá cho thuê lại đất có cơ sở hạ tầng (iv),Ngắn hạn > Phải thu UBND tỉnh Bắc Ninh tiền hỗ trợ giá cho thuê lại đất có cơ sở hạ tầng (iv),Phải thu UBND tỉnh Bắc Ninh tiền hỗ trợ giá cho thuê lại đất có cơ sở hạ tầng (iv),19.440.000.000,-,19.440.000.000,-,19440000000.0,,19440000000.0,
Tạm ứng cho nhân viên,Ngắn hạn > Tạm ứng cho nhân viên,Tạm ứng cho nhân viên,15.995.312.612,-,12.318.997.612,-,15995312612.0,,12318997612.0,
Phải thu tiền đặt cọc (v),Ngắn hạn > Phải thu tiền đặt cọc (v),Phải thu tiền đặt cọc (v),12.851.128.404,-,12.851.128.404,-,12851128404.0,,12851128404.0,
Ủy ban Nhân dân xã Văn Dương,Ngắn hạn > Ủy ban Nhân dân xã Văn Dương,Ủy ban Nhân dân xã Văn Dương,3.327.780.000,-,3.327.780.000,-,3327780000.0,,3327780000.0,
Phải thu khác,Ngắn hạn > Phải thu khác,Phải thu khác,20.360.595.069,-,17.790.696.630,-,20360595069.0,,17790696630.0,
Phải thu khác từ các bên liên quan (Thuyết minh số 29),Ngắn hạn > Phải thu khác từ các bên liên quan (Thuyết minh số 29),Phải thu khác từ các bên liên quan (Thuyết minh số 29),18.878.555.518,-,3.735.541.820,-,18878555518.0,,3735541820.0,
TỔNG CỘNG,Ngắn hạn > TỔNG CỘNG,TỔNG CỘNG,641.711.719.752,-,552.212.040.096,-,641711719752.0,,552212040096.0,
