row_label_raw,row_label_full,col_0,"Nhà cửa, vật kiến trúc (bao gồm chi phí phát triển đất và cơ sở hạ tầng)","Máy móc, thiết bị",Phương tiện vận tải,Thiết bị văn phòng,Khác,Tổng cộng,"numeric__Nhà cửa, vật kiến trúc (bao gồm chi phí phát triển đất và cơ sở hạ tầng)","numeric__Máy móc, thiết bị",numeric__Phương tiện vận tải,numeric__Thiết bị văn phòng,numeric__Khác,numeric__Tổng cộng
Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,,,,,,
Số đầu năm,Nguyên giá: > Số đầu năm,Số đầu năm,206.388.898.611,6.846.822.040,36.413.270.893,21.611.242.101,788.381.818,272.048.615.463,206388898611.0,6846822040.0,36413270893.0,21611242101.0,788381818.0,272048615463.0
Đầu tư xây dựng cơ bản hoàn thành,Nguyên giá: > Đầu tư xây dựng cơ bản hoàn thành,Đầu tư xây dựng cơ bản hoàn thành,24.787.388.833,-,-,-,-,24.787.388.833,24787388833.0,,,,,24787388833.0
Mua mới trong năm,Nguyên giá: > Mua mới trong năm,Mua mới trong năm,-,-,2.725.752.728,-,-,2.725.752.728,,,2725752728.0,,,2725752728.0
Tăng khác,Nguyên giá: > Tăng khác,Tăng khác,-,-,113.090.908,-,-,113.090.908,,,113090908.0,,,113090908.0
"Thanh lý, nhượng bán","Nguyên giá: > Thanh lý, nhượng bán","Thanh lý, nhượng bán",-,-,(1.559.612.363),-,-,(1.559.612.363),,,-1559612363.0,,,-1559612363.0
Số cuối năm,Nguyên giá: > Số cuối năm,Số cuối năm,231.176.287.444,6.846.822.040,37.692.502.166,21.611.242.101,788.381.818,298.115.235.569,231176287444.0,6846822040.0,37692502166.0,21611242101.0,788381818.0,298115235569.0
Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,,,,,,
Đã khấu hao hết,Trong đó: > Đã khấu hao hết,Đã khấu hao hết,39.380.910.749,4.464.057.852,12.208.674.348,6.103.151.192,788.381.818,62.945.175.959,39380910749.0,4464057852.0,12208674348.0,6103151192.0,788381818.0,62945175959.0
Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,,,,,,
Số đầu năm,Giá trị hao mòn lũy kế: > Số đầu năm,Số đầu năm,102.019.534.344,5.249.923.040,22.323.249.891,7.879.337.417,788.381.818,138.260.426.510,102019534344.0,5249923040.0,22323249891.0,7879337417.0,788381818.0,138260426510.0
Khấu hao trong năm,Giá trị hao mòn lũy kế: > Khấu hao trong năm,Khấu hao trong năm,16.471.622.128,257.307.256,3.243.054.004,2.005.486.961,-,21.977.470.349,16471622128.0,257307256.0,3243054004.0,2005486961.0,,21977470349.0
"Thanh lý, nhượng bán","Giá trị hao mòn lũy kế: > Thanh lý, nhượng bán","Thanh lý, nhượng bán",-,-,(686.229.442),-,-,(686.229.442),,,-686229442.0,,,-686229442.0
Số cuối năm,Giá trị hao mòn lũy kế: > Số cuối năm,Số cuối năm,118.491.156.472,5.507.230.296,24.880.074.453,9.884.824.378,788.381.818,159.551.667.417,118491156472.0,5507230296.0,24880074453.0,9884824378.0,788381818.0,159551667417.0
Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,,,,,,
Số đầu năm,Giá trị còn lại: > Số đầu năm,Số đầu năm,104.369.364.267,1.596.899.000,14.090.021.002,13.731.904.684,-,133.788.188.953,104369364267.0,1596899000.0,14090021002.0,13731904684.0,,133788188953.0
Số cuối năm,Giá trị còn lại: > Số cuối năm,Số cuối năm,112.685.130.972,1.339.591.744,12.812.427.713,11.726.417.723,-,138.563.568.152,112685130972.0,1339591744.0,12812427713.0,11726417723.0,,138563568152.0
