row_label_raw,row_label_full,col_0,Số đầu năm,Số phải nộp trong năm,Số đã nộp trong năm,Đơn vị tính: VND,numeric__Số đầu năm,numeric__Số phải nộp trong năm,numeric__Số đã nộp trong năm,numeric__Đơn vị tính: VND
Phải nộp,Phải nộp,Phải nộp,Phải nộp,Phải nộp,Phải nộp,Phải nộp,,,,
Thuế thu nhập doanh nghiệp,Phải nộp > Thuế thu nhập doanh nghiệp,Thuế thu nhập doanh nghiệp,2.000.734.634,5.861.046.890,(6.736.000.000),1.125.781.524,2000734634.0,5861046890.0,-6736000000.0,1125781524.0
Thuế thu nhập cá nhân,Phải nộp > Thuế thu nhập cá nhân,Thuế thu nhập cá nhân,729.922.746,8.542.521.698,(8.395.083.859),877.360.585,729922746.0,8542521698.0,-8395083859.0,877360585.0
Các loại thuế khác,Phải nộp > Các loại thuế khác,Các loại thuế khác,248.235.319,11.540.199.444,(11.301.132.241),487.302.522,248235319.0,11540199444.0,-11301132241.0,487302522.0
TỔNG CỘNG,Phải nộp > TỔNG CỘNG,TỔNG CỘNG,2.978.892.699,25.943.768.032,(26.432.216.100),2.490.444.631,2978892699.0,25943768032.0,-26432216100.0,2490444631.0
,,,Số đầu năm,Số phải thu trong năm,Số đã thu/cấn trừ trong năm,Số cuối năm,,,,
Phải thu,Phải thu,Phải thu,Phải thu,Phải thu,Phải thu,Phải thu,,,,
Thuế giá trị gia tăng,Phải thu > Thuế giá trị gia tăng,Thuế giá trị gia tăng,70.726.605.151,33.767.282.844,(10.859.536.460),93.634.351.535,70726605151.0,33767282844.0,-10859536460.0,93634351535.0
Các loại thuế khác,Phải thu > Các loại thuế khác,Các loại thuế khác,431.719.088,-,(431.719.088),-,431719088.0,,-431719088.0,
TỔNG CỘNG,Phải thu > TỔNG CỘNG,TỔNG CỘNG,71.158.324.239,33.767.282.844,(11.291.255.548),93.634.351.535,71158324239.0,33767282844.0,-11291255548.0,93634351535.0
