row_label_raw,row_label_full,Bên liên quan > Phải thu cho vay dài hạn (Thuyết minh số 8),Mối quan hệ > Phải thu cho vay dài hạn (Thuyết minh số 8),Nội dung nghiệp vụ > Phải thu cho vay dài hạn (Thuyết minh số 8),Số cuối năm > Phải thu cho vay dài hạn (Thuyết minh số 8),Số đầu năm > Phải thu cho vay dài hạn (Thuyết minh số 8),numeric__Mối quan hệ > Phải thu cho vay dài hạn (Thuyết minh số 8),numeric__Nội dung nghiệp vụ > Phải thu cho vay dài hạn (Thuyết minh số 8),numeric__Số cuối năm > Phải thu cho vay dài hạn (Thuyết minh số 8),numeric__Số đầu năm > Phải thu cho vay dài hạn (Thuyết minh số 8)
Công ty Cổ phần Khu công nghiệp Sài Gòn – Hải Phòng (*),Công ty Cổ phần Khu công nghiệp Sài Gòn – Hải Phòng (*),Công ty Cổ phần Khu công nghiệp Sài Gòn – Hải Phòng (*),Công ty con,Cho vay dài hạn,200.000.000.000,-,,,200000000000.0,
Công ty Cổ phần Khu công nghiệp Sài Gòn – Bắc Giang (*),Công ty Cổ phần Khu công nghiệp Sài Gòn – Bắc Giang (*),Công ty Cổ phần Khu công nghiệp Sài Gòn – Bắc Giang (*),Công ty con,Cho vay dài hạn,200.000.000.000,-,,,200000000000.0,
Công ty TNHH MTV Đầu tư Kinh Bắc – Đà Nẵng,Công ty TNHH MTV Đầu tư Kinh Bắc – Đà Nẵng,Công ty TNHH MTV Đầu tư Kinh Bắc – Đà Nẵng,Công ty con,Cho vay dài hạn,-,4.000.000.000,,,,4000000000.0
,,,,,400.000.000.000,4.000.000.000,,,400000000000.0,4000000000.0
Phải thu ngắn hạn khác (Thuyết minh số 9),Phải thu ngắn hạn khác (Thuyết minh số 9),Phải thu ngắn hạn khác (Thuyết minh số 9),Phải thu ngắn hạn khác (Thuyết minh số 9),Phải thu ngắn hạn khác (Thuyết minh số 9),Phải thu ngắn hạn khác (Thuyết minh số 9),Phải thu ngắn hạn khác (Thuyết minh số 9),,,,
Công ty Cổ phần Khu Công nghiệp Sài Gòn - Bắc Giang,Phải thu ngắn hạn khác (Thuyết minh số 9) > Công ty Cổ phần Khu Công nghiệp Sài Gòn - Bắc Giang,Công ty Cổ phần Khu Công nghiệp Sài Gòn - Bắc Giang,Công ty con,Thu nhập từ hợp đồng hợp tác kinh doanh,15.143.013.698,-,,,15143013698.0,
Bà Nguyễn Thị Thu Hương,Phải thu ngắn hạn khác (Thuyết minh số 9) > Bà Nguyễn Thị Thu Hương,Bà Nguyễn Thị Thu Hương,Tổng Giám đốc,Tạm ứng,3.489.211.820,3.489.211.820,,,3489211820.0,3489211820.0
Bà Nguyễn Mỹ Ngọc,Phải thu ngắn hạn khác (Thuyết minh số 9) > Bà Nguyễn Mỹ Ngọc,Bà Nguyễn Mỹ Ngọc,Phó Tổng Giám đốc,Tạm ứng,136.330.000,136.330.000,,,136330000.0,136330000.0
Ông Phan Anh Dũng,Phải thu ngắn hạn khác (Thuyết minh số 9) > Ông Phan Anh Dũng,Ông Phan Anh Dũng,Phó Tổng Giám đốc,Tạm ứng,110.000.000,110.000.000,,,110000000.0,110000000.0
,,,,,18.878.555.518,3.735.541.820,,,18878555518.0,3735541820.0
Phải thu dài hạn khác (Thuyết minh số 9),Phải thu dài hạn khác (Thuyết minh số 9),Phải thu dài hạn khác (Thuyết minh số 9),Phải thu dài hạn khác (Thuyết minh số 9),Phải thu dài hạn khác (Thuyết minh số 9),Phải thu dài hạn khác (Thuyết minh số 9),Phải thu dài hạn khác (Thuyết minh số 9),,,,
Công ty Cổ phần Khu công nghiệp Sài Gòn - Bắc Giang,Phải thu dài hạn khác (Thuyết minh số 9) > Công ty Cổ phần Khu công nghiệp Sài Gòn - Bắc Giang,Công ty Cổ phần Khu công nghiệp Sài Gòn - Bắc Giang,Công ty con,Góp vốn hợp tác kinh doanh (**)Lãi cho vay phải thu,224.000.000.000,-,,,224000000000.0,
Công ty Cổ phần Khu Công nghiệp Sài Gòn - Hải Phòng,Phải thu dài hạn khác (Thuyết minh số 9) > Công ty Cổ phần Khu Công nghiệp Sài Gòn - Hải Phòng,Công ty Cổ phần Khu Công nghiệp Sài Gòn - Hải Phòng,Công ty con,Lãi cho vay phải thu,9.101.369.863,-,,,9101369863.0,
Công ty TNHH MTV Đầu tư Kinh Bắc – Đà Nẵng,Phải thu dài hạn khác (Thuyết minh số 9) > Công ty TNHH MTV Đầu tư Kinh Bắc – Đà Nẵng,Công ty TNHH MTV Đầu tư Kinh Bắc – Đà Nẵng,Công ty con,Lãi cho vay phải thu,-,19.726.028,,,,19726028.0
,,,,,242.202.739.726,19.726.028,,,242202739726.0,19726028.0
