row_label_raw,row_label_full,col_0,Phương tiênvận tải,Thiết bịvăn phòng,Tài sâncó định khác,VNDTổng cộng,numeric__Phương tiênvận tải,numeric__Thiết bịvăn phòng,numeric__Tài sâncó định khác,numeric__VNDTổng cộng
Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,,,,
Số đầu năm,Nguyên giá: > Số đầu năm,Số đầu năm,18.600.102.298,9.822.269.788,965.494.220,29.387.866.306,18600102298.0,9822269788.0,965494220.0,29387866306.0
Mua trong năm,Nguyên giá: > Mua trong năm,Mua trong năm,1.285.354.545,567.059.090,-,1.852.413.635,1285354545.0,567059090.0,,1852413635.0
Thanh lý,Nguyên giá: > Thanh lý,Thanh lý,(4.717.795.854),-,-,(4.717.795.854),-4717795854.0,,,-4717795854.0
Số cuối năm,Nguyên giá: > Số cuối năm,Số cuối năm,15.167.660.989,10.389.328.878,965.494.220,26.522.484.087,15167660989.0,10389328878.0,965494220.0,26522484087.0
Trong đó:Dã khấu hao hết,Nguyên giá: > Trong đó:Dã khấu hao hết,Trong đó:Dã khấu hao hết,2.009.304.624,5.794.297.969,688.630.584,8.492.233.177,2009304624.0,5794297969.0,688630584.0,8492233177.0
Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,,,,
Số đầu năm,Giá trị khấu hao lũy kế: > Số đầu năm,Số đầu năm,(11.952.022.119),(6.786.883.347),(751.936.186),(19.490.841.652),-11952022119.0,-6786883347.0,-751936186.0,-19490841652.0
Khấu hao trong năm,Giá trị khấu hao lũy kế: > Khấu hao trong năm,Khấu hao trong năm,(1.964.289.658),(1.817.215.587),(74.102.228),(3.855.607.473),-1964289658.0,-1817215587.0,-74102228.0,-3855607473.0
Thanh lý,Giá trị khấu hao lũy kế: > Thanh lý,Thanh lý,4.717.795.854,-,-,4.717.795.854,4717795854.0,,,4717795854.0
Số cuối năm,Giá trị khấu hao lũy kế: > Số cuối năm,Số cuối năm,(9.198.515.923),(8.604.098.934),(826.038.414),(18.628.653.271),-9198515923.0,-8604098934.0,-826038414.0,-18628653271.0
Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,,,,
Số đầu năm,Giá trị còn lại: > Số đầu năm,Số đầu năm,6.648.080.179,3.035.386.441,213.558.034,9.897.024.654,6648080179.0,3035386441.0,213558034.0,9897024654.0
Số cuối năm,Giá trị còn lại: > Số cuối năm,Số cuối năm,5.969.145.066,"1.785.229,944",139.455.806,7.893.830.816,5969145066.0,1785229.944,139455806.0,7893830816.0
