row_label_raw,row_label_full,Số đầu năm > Vay trong năm,Năm nay > 1.060.256.182.470 > 3.207.000.000.000,VNDNăm trước > 2.025.385.509.703 > 1.116.000.000.000,numeric__Năm nay > 1.060.256.182.470 > 3.207.000.000.000,numeric__VNDNăm trước > 2.025.385.509.703 > 1.116.000.000.000
Trả nợ gốc vay và trái phiếu,Trả nợ gốc vay và trái phiếu,Trả nợ gốc vay và trái phiếu,(1.355.600.000.000),(2.089.540.938.800),-1355600000000.0,-2089540938800.0
Chi phí phát hành trái phiếu,Chi phí phát hành trái phiếu,Chi phí phát hành trái phiếu,(11.652.727.273),(7.700.000.000),-11652727273.0,-7700000000.0
Phân bổ chi phí phát hành trái phiếu,Phân bổ chi phí phát hành trái phiếu,Phân bổ chi phí phát hành trái phiếu,15.096.097.917,16.111.611.567,15096097917.0,16111611567.0
Số cuối năm,Số cuối năm,Số cuối năm,2.915.099.553.114,1.060.256.182.470,2915099553114.0,1060256182470.0
