row_label_raw,row_label_full,Tên công ty con,Lĩnh vực kinh doanh,Tình trạng hoạt động,Số cuối năm,Số cuối năm_1,Số đầu năm,Số đầu năm_1,numeric__Lĩnh vực kinh doanh,numeric__Tình trạng hoạt động,numeric__Số cuối năm,numeric__Số cuối năm_1,numeric__Số đầu năm,numeric__Số đầu năm_1
Tên công ty con,Tên công ty con,Tên công ty con,Lĩnh vực kinh doanh,Tình trạng hoạt động,Tỷ lệ sở hữu %,Giá gốc đầu tư VND,Tỷ lệ sở hữu %,Giá gốc đầu tư VND,,,,,,
"Công ty Cổ phần Đầu tư Kinh doanh Bất động sản Hà An (""Hà An"") (i)","Tên công ty con > Công ty Cổ phần Đầu tư Kinh doanh Bất động sản Hà An (""Hà An"") (i)","Công ty Cổ phần Đầu tư Kinh doanh Bất động sản Hà An (""Hà An"") (i)",Kinh doanh BĐS,Đang hoạt động,"99,99",7.476.991.224.626,"99,99",4.195.017.224.626,,,99.99,7476991224626.0,99.99,4195017224626.0
"Công ty Cổ phần Dịch vụ Bất động sản Đất Xanh (""DXS"") (ii)","Tên công ty con > Công ty Cổ phần Dịch vụ Bất động sản Đất Xanh (""DXS"") (ii)","Công ty Cổ phần Dịch vụ Bất động sản Đất Xanh (""DXS"") (ii)",Môi giới BĐS,Đang hoạt động,"60,33",2.015.908.236.056,"84,19",2.714.910.140.000,,,60.33,2015908236056.0,84.19,2714910140000.0
"Công ty Cổ phần Sài Gòn Riverview (""Saigon Riverview"") (iv)","Tên công ty con > Công ty Cổ phần Sài Gòn Riverview (""Saigon Riverview"") (iv)","Công ty Cổ phần Sài Gòn Riverview (""Saigon Riverview"") (iv)",Kinh doanh BĐS,Đang hoạt động,"99,99",349.650.000.000,"99,99",349.650.000.000,,,99.99,349650000000.0,99.99,349650000000.0
"Công ty Cổ phần Vicco Sài Gòn (""Vicco Saigon"") (iv)","Tên công ty con > Công ty Cổ phần Vicco Sài Gòn (""Vicco Saigon"") (iv)","Công ty Cổ phần Vicco Sài Gòn (""Vicco Saigon"") (iv)",Kinh doanh BĐS,Đang hoạt động,"99,99",264.605.025.849,"99,99",257.855.025.849,,,99.99,264605025849.0,99.99,257855025849.0
"Công ty Cổ phần Đất Xanh E&C (""Đất Xanh E&C"") (v)","Tên công ty con > Công ty Cổ phần Đất Xanh E&C (""Đất Xanh E&C"") (v)","Công ty Cổ phần Đất Xanh E&C (""Đất Xanh E&C"") (v)",Kinh doanh BĐS,Đang hoạt động,"96,30",73.500.000.000,-,-,,,96.3,73500000000.0,,
"Công ty Cổ phần Đầu tư Bất động sản Miền Bắc (""DXI"") (iv)","Tên công ty con > Công ty Cổ phần Đầu tư Bất động sản Miền Bắc (""DXI"") (iv)","Công ty Cổ phần Đầu tư Bất động sản Miền Bắc (""DXI"") (iv)",Kinh doanh và môi giới BĐS,Đang hoạt động,"99,99",51.704.440.894,"99,99",51.704.440.894,,,99.99,51704440894.0,99.99,51704440894.0
"Công ty Cổ phần Hội An Invest (""Hội An Invest"") (iii) và (iv)","Tên công ty con > Công ty Cổ phần Hội An Invest (""Hội An Invest"") (iii) và (iv)","Công ty Cổ phần Hội An Invest (""Hội An Invest"") (iii) và (iv)",Kinh doanh BĐS,Đang hoạt động,-,-,100,999.980.000.000,,,,,100.0,999980000000.0
"Công ty Cổ phần Xây dựng FBV (""Xây dựng FBV"") (vi)","Tên công ty con > Công ty Cổ phần Xây dựng FBV (""Xây dựng FBV"") (vi)","Công ty Cổ phần Xây dựng FBV (""Xây dựng FBV"") (vi)",Xây dựng,Đang hoạt động,-,-,"51,00",18.235.112.848,,,,,51.0,18235112848.0
TỔNG CỘNG,Tên công ty con > TỔNG CỘNG,TỔNG CỘNG,,,,10.232.358.927.425,,8.587.351.944.217,,,,10232358927425.0,,8587351944217.0
Dự phòng đầu tư vào công ty con,Tên công ty con > Dự phòng đầu tư vào công ty con,Dự phòng đầu tư vào công ty con,,,,(18.077.207.067),,(139.242.640.229),,,,-18077207067.0,,-139242640229.0
GIÁ TRỊ THUẢN,Tên công ty con > GIÁ TRỊ THUẢN,GIÁ TRỊ THUẢN,,,,10.214.281.720.358,,8.448.109.303.988,,,,10214281720358.0,,8448109303988.0
