row_label_raw,row_label_full,col_0,VNDNhà cửa vàvật kiến trúc,numeric__VNDNhà cửa vàvật kiến trúc
Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,
Số đầu năm và cuối năm,Nguyên giá: > Số đầu năm và cuối năm,Số đầu năm và cuối năm,77.572.433.258,77572433258.0
Thanh lý,Nguyên giá: > Thanh lý,Thanh lý,(2.079.569.292),-2079569292.0
Số cuối năm,Nguyên giá: > Số cuối năm,Số cuối năm,75.492.863.966,75492863966.0
Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,
Số đầu năm,Giá trị khấu hao lũy kế: > Số đầu năm,Số đầu năm,(4.836.862.226),-4836862226.0
Khấu hao trong năm,Giá trị khấu hao lũy kế: > Khấu hao trong năm,Khấu hao trong năm,(1.485.726.898),-1485726898.0
Thanh lý,Giá trị khấu hao lũy kế: > Thanh lý,Thanh lý,284.922.642,284922642.0
Số cuối năm,Giá trị khấu hao lũy kế: > Số cuối năm,Số cuối năm,(6.037.666.482),-6037666482.0
Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,
Số đầu năm,Giá trị còn lại: > Số đầu năm,Số đầu năm,72.735.571.032,72735571032.0
Số cuối năm,Giá trị còn lại: > Số cuối năm,Số cuối năm,69.455.197.484,69455197484.0
