row_label_raw,row_label_full,Bên liên quan,Mối quan hệ,Nội dung nghiệp vụ,Số cuối năm,Số đầu năm,numeric__Mối quan hệ,numeric__Nội dung nghiệp vụ,numeric__Số cuối năm,numeric__Số đầu năm
Phải thu ngắn hạn của khách hàng,Phải thu ngắn hạn của khách hàng,Phải thu ngắn hạn của khách hàng,Phải thu ngắn hạn của khách hàng,Phải thu ngắn hạn của khách hàng,Phải thu ngắn hạn của khách hàng,Phải thu ngắn hạn của khách hàng,,,,
Đất Xanh Miền Trung,Phải thu ngắn hạn của khách hàng > Đất Xanh Miền Trung,Đất Xanh Miền Trung,Công ty con,Doanh thu dịch vụ BĐS,47.704.445.562,-,,,47704445562.0,
"Công ty Cổ phần Đầu tư và Dịch vụ Đất Xanh Đồng Nam Bộ (""Đất Xanh Đồng Nam Bộ"")","Phải thu ngắn hạn của khách hàng > Công ty Cổ phần Đầu tư và Dịch vụ Đất Xanh Đồng Nam Bộ (""Đất Xanh Đồng Nam Bộ"")","Công ty Cổ phần Đầu tư và Dịch vụ Đất Xanh Đồng Nam Bộ (""Đất Xanh Đồng Nam Bộ"")",Công ty con,Doanh thu dịch vụ BĐS,38.115.689.031,38.115.689.031,,,38115689031.0,38115689031.0
Ông Lương Trí Tú,Phải thu ngắn hạn của khách hàng > Ông Lương Trí Tú,Ông Lương Trí Tú,Cổ đông,Phải thu bán căn hộ,1.202.768.948,1.440.995.636,,,1202768948.0,1440995636.0
Ông Lương Trí Thảo,Phải thu ngắn hạn của khách hàng > Ông Lương Trí Thảo,Ông Lương Trí Thảo,Thành viên Hội đồng quản trị,Phải thu bán căn hộ,956.750.562,1.293.624.165,,,956750562.0,1293624165.0
Hà An,Phải thu ngắn hạn của khách hàng > Hà An,Hà An,Công ty con,Doanh thu từ dịch vụ cho thuê,-,3.720.864.787,,,,3720864787.0
,,,,,87.979.654.103,44.571.173.619,,,87979654103.0,44571173619.0
Phải thu về cho vay,Phải thu về cho vay,Phải thu về cho vay,Phải thu về cho vay,Phải thu về cho vay,Phải thu về cho vay,Phải thu về cho vay,,,,
Sài Gòn Riverview,Phải thu về cho vay > Sài Gòn Riverview,Sài Gòn Riverview,Công ty con,Cho vay,2.125.000.000,38.345.842.732,,,2125000000.0,38345842732.0
Công ty Cổ phần Đầu tư Dầu khí Nha Trang,Phải thu về cho vay > Công ty Cổ phần Đầu tư Dầu khí Nha Trang,Công ty Cổ phần Đầu tư Dầu khí Nha Trang,Công ty con,Cho vay,2.035.934.820,1.719.934.820,,,2035934820.0,1719934820.0
DXI,Phải thu về cho vay > DXI,DXI,Công ty con,Cho vay,-,41.867.336.165,,,,41867336165.0
,,,,,4.160.934.820,81.933.113.717,,,4160934820.0,81933113717.0
