row_label_raw,row_label_full,Vicco Sai Gon,Công ty con,Dịch vụ BĐS,4.234.015.962,-,numeric__Công ty con,numeric__Dịch vụ BĐS,numeric__4.234.015.962,numeric__-
Đất Xanh Đông Nam Bộ,Đất Xanh Đông Nam Bộ,Đất Xanh Đông Nam Bộ,Công ty con,Dịch vụ,1.273.321.716,1.273.321.716,,,1273321716.0,1273321716.0
DXS,DXS,DXS,Công ty con,Dịch vụ BĐS,526.656.912,-,,,526656912.0,
Đất Xanh Miền Nam,Đất Xanh Miền Nam,Đất Xanh Miền Nam,Công ty con,Dịch vụ BĐS,-,22.278.457.459,,,,22278457459.0
Đất Xanh Miền Bắc,Đất Xanh Miền Bắc,Đất Xanh Miền Bắc,Công ty con,Mua căn hộ,-,3.074.761.254,,,,3074761254.0
,,,,,6.033.994.590,26.626.540.429,,,6033994590.0,26626540429.0
