row_label_raw,row_label_full,col_0,Vốn cổ phần,Thăng dưvốn cổ phần,Cổ phiếu quỹ,Quỹ đầu tưphát triển,Lợi nhuậnsau thuế chưaphân phối,Tổng cộng,numeric__Vốn cổ phần,numeric__Thăng dưvốn cổ phần,numeric__Cổ phiếu quỹ,numeric__Quỹ đầu tưphát triển,numeric__Lợi nhuậnsau thuế chưaphân phối,numeric__Tổng cộng
Năm trước,Năm trước,Năm trước,Năm trước,Năm trước,Năm trước,Năm trước,Năm trước,Năm trước,,,,,,
Số dư đầu năm,Năm trước > Số dư đầu năm,Số dư đầu năm,5.200.346.670.000,10.677.980.806,(2.500.560.000),52.616.156.713,725.912.914.753,5.987.053.162.272,5200346670000.0,10677980806.0,-2500560000.0,52616156713.0,725912914753.0,5987053162272.0
Lợi nhuận thuần trong năm,Năm trước > Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,-,-,-,-,244.904.332.968,244.904.332.968,,,,,244904332968.0,244904332968.0
Trích quỹ đầu tư phát triển,Năm trước > Trích quỹ đầu tư phát triển,Trích quỹ đầu tư phát triển,-,-,-,24.330.295.118,(24.330.295.118),-,,,,24330295118.0,-24330295118.0,
"Trích quỹ khen thưởng,phúc lợi","Năm trước > Trích quỹ khen thưởng,phúc lợi","Trích quỹ khen thưởng,phúc lợi",-,-,-,-,(39.798.393.861),(39.798.393.861),,,,,-39798393861.0,-39798393861.0
Số dư cuối năm,Năm trước > Số dư cuối năm,Số dư cuối năm,5.200.346.670.000,10.677.980.806,(2.500.560.000),76.946.451.831,906.688.558.742,6.192.159.101.379,5200346670000.0,10677980806.0,-2500560000.0,76946451831.0,906688558742.0,6192159101379.0
Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,,,,,,
Số dư đầu năm,Năm nay > Số dư đầu năm,Số dư đầu năm,5.200.346.670.000,10.677.980.806,(2.500.560.000),76.946.451.831,906.688.558.742,6.192.159.101.379,5200346670000.0,10677980806.0,-2500560000.0,76946451831.0,906688558742.0,6192159101379.0
Lợi nhuận thuần trong năm,Năm nay > Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,-,-,-,-,1.387.823.288.515,1.387.823.288.515,,,,,1387823288515.0,1387823288515.0
Cổ phiếu thưởng (*),Năm nay > Cổ phiếu thưởng (*),Cổ phiếu thưởng (*),777.383.810.000,-,-,-,(777.383.810.000),-,777383810000.0,,,,-777383810000.0,
Số dư cuối năm,Năm nay > Số dư cuối năm,Số dư cuối năm,5.977.730.480.000,10.677.980.806,(2.500.560.000),76.946.451.831,1.517.128.037.257,7.579.982.389.894,5977730480000.0,10677980806.0,-2500560000.0,76946451831.0,1517128037257.0,7579982389894.0
