row_label_raw,row_label_full,col_0,Phân mềm,Trang web,Tài sản khác,VND Tổng cộng,numeric__Phân mềm,numeric__Trang web,numeric__Tài sản khác,numeric__VND Tổng cộng
Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,,,,
Số đầu năm,Nguyên giá: > Số đầu năm,Số đầu năm,7.509.511.402,657.166.005,310.734.600,8.477.412.007,7509511402.0,657166005.0,310734600.0,8477412007.0
Mua trong năm,Nguyên giá: > Mua trong năm,Mua trong năm,-,406.000.000,-,406.000.000,,406000000.0,,406000000.0
Số cuối năm,Nguyên giá: > Số cuối năm,Số cuối năm,7.509.511.402,1.063.166.005,310.734.600,8.883.412.007,7509511402.0,1063166005.0,310734600.0,8883412007.0
Trong đó:Đã hao mòn hết,Nguyên giá: > Trong đó:Đã hao mòn hết,Trong đó:Đã hao mòn hết,2.910.002.517,657.166.005,310.734.600,3.877.903.122,2910002517.0,657166005.0,310734600.0,3877903122.0
Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,,,,
Số đầu năm,Giá trị hao mòn lũy kế: > Số đầu năm,Số đầu năm,(4.490.661.649),(657.166.005),(310.734.600),(5.458.562.254),-4490661649.0,-657166005.0,-310734600.0,-5458562254.0
Hao mòn trong năm,Giá trị hao mòn lũy kế: > Hao mòn trong năm,Hao mòn trong năm,(1.233.423.929),(85.874.994),-,(1.319.298.923),-1233423929.0,-85874994.0,,-1319298923.0
Số cuối năm,Giá trị hao mòn lũy kế: > Số cuối năm,Số cuối năm,(5.724.085.578),(743.040.999),(310.734.600),(6.777.861.177),-5724085578.0,-743040999.0,-310734600.0,-6777861177.0
Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,,,,
Số đầu năm,Giá trị còn lại: > Số đầu năm,Số đầu năm,3.018.849.753,-,-,3.018.849.753,3018849753.0,,,3018849753.0
Số cuối năm,Giá trị còn lại: > Số cuối năm,Số cuối năm,1.785.425.824,320.125.006,-,2.105.550.830,1785425824.0,320125006.0,,2105550830.0
