row_label_raw,row_label_full,Cho vay bên liên quan (Thuyết minh số 31),Số cuối năm > 4.160.934.820,VND Số đầu năm > 81.933.113.717,numeric__Số cuối năm > 4.160.934.820,numeric__VND Số đầu năm > 81.933.113.717
Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,,
Ngắn hạn,Trong đó: > Ngắn hạn,Ngắn hạn,2.035.934.820,72.296.113.717,2035934820.0,72296113717.0
Dải hạn,Trong đó: > Dải hạn,Dải hạn,2.125.000.000,9.637.000.000,2125000000.0,9637000000.0
Chi tiết các khoản cho vay tín chấp như sau:,Chi tiết các khoản cho vay tín chấp như sau:,Chi tiết các khoản cho vay tín chấp như sau:,Chi tiết các khoản cho vay tín chấp như sau:,Chi tiết các khoản cho vay tín chấp như sau:,,
Bên vay,Bên vay,Bên vay,Số cuối năm VND,Lãi suất,,
Công ty Cổ phần,Công ty Cổ phần,Công ty Cổ phần,Công ty Cổ phần,Công ty Cổ phần,,
"Sài Gòn Riverview (""Saigon Riverview"")","Công ty Cổ phần > Sài Gòn Riverview (""Saigon Riverview"")","Sài Gòn Riverview (""Saigon Riverview"")",2.125.000.000,"10,5%",2125000000.0,0.105
"Công ty Cổ phần Đầu tư Dầu khí Nha Trang (""Dầu khí Nha Trang"")","Công ty Cổ phần > Công ty Cổ phần Đầu tư Dầu khí Nha Trang (""Dầu khí Nha Trang"")","Công ty Cổ phần Đầu tư Dầu khí Nha Trang (""Dầu khí Nha Trang"")",2.035.934.820,"từ 7,5% đến 15%",2035934820.0,
TỔNG CỘNG,Công ty Cổ phần > TỔNG CỘNG,TỔNG CỘNG,4.160.934.820,,4160934820.0,
