row_label_raw,row_label_full,Đầu tư vào công ty con (Thuyết minh số 16.1),Số cuối năm > 10.232.358.927.425,VND Số đầu năm > 8.587.351.944.217,numeric__Số cuối năm > 10.232.358.927.425,numeric__VND Số đầu năm > 8.587.351.944.217
Dự phòng đầu tư tài chính dài hạn,Dự phòng đầu tư tài chính dài hạn,Dự phòng đầu tư tài chính dài hạn,(18.077.207.067),(139.242.640.229),-18077207067.0,-139242640229.0
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,10.214.281.720.358,8.448.109.303.988,10214281720358.0,8448109303988.0
