row_label_raw,row_label_full,col_0,1/1/2025Giá trị ghi sổ/Số cókhả năng trả nợVND,Biến động trong năm > Nhận nợ vayVND,Biến động trong năm > Trả nợ vayVND,31/12/2025Giá trị ghi sổ/Số cókhả năng trả nợVND,numeric__1/1/2025Giá trị ghi sổ/Số cókhả năng trả nợVND,numeric__Biến động trong năm > Nhận nợ vayVND,numeric__Biến động trong năm > Trả nợ vayVND,numeric__31/12/2025Giá trị ghi sổ/Số cókhả năng trả nợVND
Vay ngắn hạn,Vay ngắn hạn,Vay ngắn hạn,6.445.000.000.000,15.590.000.000.000,(16.945.000.000.000),5.090.000.000.000,6445000000000.0,15590000000000.0,-16945000000000.0,5090000000000.0
Vay dài hạn,Vay dài hạn,Vay dài hạn,1.764.400.000.000,508.600.000.000,-,2.273.000.000.000,1764400000000.0,508600000000.0,,2273000000000.0
,,,8.209.400.000.000,16.098.600.000.000,(16.945.000.000.000),7.363.000.000.000,8209400000000.0,16098600000000.0,-16945000000000.0,7363000000000.0
