row_label_raw,row_label_full,col_0,Nâng cấp tài sản thuê VND,Máy móc và thiết bị VND,Phương tiện vận chuyển VND,Thiết bị văn phòng VND,Tổng VND,numeric__Nâng cấp tài sản thuê VND,numeric__Máy móc và thiết bị VND,numeric__Phương tiện vận chuyển VND,numeric__Thiết bị văn phòng VND,numeric__Tổng VND
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,,
Số dư đầu năm,Nguyên giá > Số dư đầu năm,Số dư đầu năm,13.799.505.547,23.430.095.955,17.195.472.548,27.891.363.799,82.316.437.849,13799505547.0,23430095955.0,17195472548.0,27891363799.0,82316437849.0
Tăng trong năm,Nguyên giá > Tăng trong năm,Tăng trong năm,-,386.697.139,-,401.141.415,787.838.554,,386697139.0,,401141415.0,787838554.0
Chuyển từ chi phí xây dựng cơ bản dở dang,Nguyên giá > Chuyển từ chi phí xây dựng cơ bản dở dang,Chuyển từ chi phí xây dựng cơ bản dở dang,-,19.758.167.317,-,-,19.758.167.317,,19758167317.0,,,19758167317.0
Thanh lý,Nguyên giá > Thanh lý,Thanh lý,(159.828.359),(2.013.693.640),-,(19.028.488.512),(21.202.010.511),-159828359.0,-2013693640.0,,-19028488512.0,-21202010511.0
Xóa số,Nguyên giá > Xóa số,Xóa số,-,(88.549.996),-,-,(88.549.996),,-88549996.0,,,-88549996.0
Số dư cuối năm,Nguyên giá > Số dư cuối năm,Số dư cuối năm,13.639.677.188,41.472.716.775,17.195.472.548,9.264.016.702,81.571.883.213,13639677188.0,41472716775.0,17195472548.0,9264016702.0,81571883213.0
Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,,,,,
Số dư đầu năm,Giá trị hao mòn lũy kế > Số dư đầu năm,Số dư đầu năm,12.708.886.085,5.047.255.606,9.131.213.401,24.692.598.395,51.579.953.487,12708886085.0,5047255606.0,9131213401.0,24692598395.0,51579953487.0
Khẩu hao trong năm,Giá trị hao mòn lũy kế > Khẩu hao trong năm,Khẩu hao trong năm,179.279.911,3.434.527.740,2.376.089.851,1.306.010.297,7.295.907.799,179279911.0,3434527740.0,2376089851.0,1306010297.0,7295907799.0
Thanh lý,Giá trị hao mòn lũy kế > Thanh lý,Thanh lý,(159.828.359),(809.564.530),-,(19.005.187.458),(19.974.580.347),-159828359.0,-809564530.0,,-19005187458.0,-19974580347.0
Xóa số,Giá trị hao mòn lũy kế > Xóa số,Xóa số,-,(88.549.996),-,-,(88.549.996),,-88549996.0,,,-88549996.0
Số dư cuối năm,Giá trị hao mòn lũy kế > Số dư cuối năm,Số dư cuối năm,12.728.337.637,7.583.668.820,11.507.303.252,6.993.421.234,38.812.730.943,12728337637.0,7583668820.0,11507303252.0,6993421234.0,38812730943.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,,
Số dư đầu năm,Giá trị còn lại > Số dư đầu năm,Số dư đầu năm,1.090.619.462,18.382.840.349,8.064.259.147,3.198.765.404,30.736.484.362,1090619462.0,18382840349.0,8064259147.0,3198765404.0,30736484362.0
Số dư cuối năm,Giá trị còn lại > Số dư cuối năm,Số dư cuối năm,911.339.551,33.889.047.955,5.688.169.296,2.270.595.468,42.759.152.270,911339551.0,33889047955.0,5688169296.0,2270595468.0,42759152270.0
