row_label_raw,row_label_full,Mối quan hệ,Bản chất giao dịch,Giá trị giao dịch > 2025VND,Giá trị giao dịch > 2024VND,Phải thu/(Phải trả) tại ngày > 31/12/2025VND,Phải thu/(Phải trả) tại ngày > 1/1/2025VND,numeric__Bản chất giao dịch,numeric__Giá trị giao dịch > 2025VND,numeric__Giá trị giao dịch > 2024VND,numeric__Phải thu/(Phải trả) tại ngày > 31/12/2025VND,numeric__Phải thu/(Phải trả) tại ngày > 1/1/2025VND
Công ty mẹ cấp cao nhất,Công ty mẹ cấp cao nhất,Công ty mẹ cấp cao nhất,Công ty mẹ cấp cao nhất,Công ty mẹ cấp cao nhất,Công ty mẹ cấp cao nhất,Công ty mẹ cấp cao nhất,Công ty mẹ cấp cao nhất,,,,,
Công ty Cổ phần Tập đoàn Masan,Công ty mẹ cấp cao nhất > Công ty Cổ phần Tập đoàn Masan,Công ty Cổ phần Tập đoàn Masan,Bán hàng hóa,74.842.406,47.315.354,-,-,,74842406.0,47315354.0,,
Công ty Cổ phần Tập đoàn Masan,Công ty mẹ cấp cao nhất > Công ty Cổ phần Tập đoàn Masan,Công ty Cổ phần Tập đoàn Masan,Phí hỗ trợ quản lý,1.123.362.008,1.035.759.721,-,-,,1123362008.0,1035759721.0,,
Công ty Cổ phần Tập đoàn Masan,Công ty mẹ cấp cao nhất > Công ty Cổ phần Tập đoàn Masan,Công ty Cổ phần Tập đoàn Masan,Phí dịch vụ mua ngoài phân bổ,13.567.309.932,45.574.223.556,(13.414.116.518),(48.077.533.640),,13567309932.0,45574223556.0,-13414116518.0,-48077533640.0
Công ty Cổ phần Tập đoàn Masan,Công ty mẹ cấp cao nhất > Công ty Cổ phần Tập đoàn Masan,Công ty Cổ phần Tập đoàn Masan,Lãi trái phiếu,82.739.814.300,-,-,-,,82739814300.0,,,
Các công ty mẹ cấp cao,Các công ty mẹ cấp cao,Các công ty mẹ cấp cao,Các công ty mẹ cấp cao,Các công ty mẹ cấp cao,Các công ty mẹ cấp cao,Các công ty mẹ cấp cao,Các công ty mẹ cấp cao,,,,,
Công ty TNHH The SHERPA,Các công ty mẹ cấp cao > Công ty TNHH The SHERPA,Công ty TNHH The SHERPA,Bán hàng hóa,23.861.111,118.194.446,-,7.079.999,,23861111.0,118194446.0,,7079999.0
Công ty TNHH The SHERPA,Các công ty mẹ cấp cao > Công ty TNHH The SHERPA,Công ty TNHH The SHERPA,Mua dịch vụ,3.176.191.099,-,(3.493.810.209),-,,3176191099.0,,-3493810209.0,
Công ty TNHH The SHERPA,Các công ty mẹ cấp cao > Công ty TNHH The SHERPA,Công ty TNHH The SHERPA,Mua chứng khoán kinh doanh,1.868.389.200.000,-,-,-,,1868389200000.0,,,
Công ty Cổ phần The CrownX,Các công ty mẹ cấp cao > Công ty Cổ phần The CrownX,Công ty Cổ phần The CrownX,Bán hàng hóa,51.756.099,54.940.639,15.313.198,5.372.399,,51756099.0,54940639.0,15313198.0,5372399.0
Công ty Cổ phần The CrownX,Các công ty mẹ cấp cao > Công ty Cổ phần The CrownX,Công ty Cổ phần The CrownX,Mua dịch vụ,39.941.882.073,36.058.759.337,(33.483.567.522),(27.499.305.295),,39941882073.0,36058759337.0,-33483567522.0,-27499305295.0
Công ty mẹ,Công ty mẹ,Công ty mẹ,Công ty mẹ,Công ty mẹ,Công ty mẹ,Công ty mẹ,Công ty mẹ,,,,,
Công ty Cổ phần Masan Consumer Holdings (trước đây là “Công ty TNHH MasanConsumerHoldings”),Công ty mẹ > Công ty Cổ phần Masan Consumer Holdings (trước đây là “Công ty TNHH MasanConsumerHoldings”),Công ty Cổ phần Masan Consumer Holdings (trước đây là “Công ty TNHH MasanConsumerHoldings”),Nhận tăng vốn,692.452.670.000,-,-,-,,692452670000.0,,,
Công ty Cổ phần Masan Consumer Holdings (trước đây là “Công ty TNHH MasanConsumerHoldings”),Công ty mẹ > Công ty Cổ phần Masan Consumer Holdings (trước đây là “Công ty TNHH MasanConsumerHoldings”),Công ty Cổ phần Masan Consumer Holdings (trước đây là “Công ty TNHH MasanConsumerHoldings”),Cổ tức đã công bố,1.851.496.030.000,21.349.030.011.000,-,-,,1851496030000.0,21349030011000.0,,
Công ty Cổ phần Masan Consumer Holdings (trước đây là “Công ty TNHH MasanConsumerHoldings”),Công ty mẹ > Công ty Cổ phần Masan Consumer Holdings (trước đây là “Công ty TNHH MasanConsumerHoldings”),Công ty Cổ phần Masan Consumer Holdings (trước đây là “Công ty TNHH MasanConsumerHoldings”),Cổ tức đã trả bằng tiền,1.851.496.030.000,21.349.030.011.000,-,-,,1851496030000.0,21349030011000.0,,
