row_label_raw,row_label_full,Mối quan hệ > Ngân hàng Thương mại Cổ phần Kỹ thương Việt Nam (*),Bản chất giao dịch > Bán hàng hóa > Phí dịch vụ mua ngoài phân bổ,Giá trị giao dịch > 2025 VND > 3.646.778.132 > -,Giá trị giao dịch > 2024 VND > - > 6.743.062.666,Phải thu/(Phải trả) tại ngày > 31/12/2025 VND > 772.895.150 > -,Phải thu/(Phải trả) tại ngày > 1/1/2025 VND > - > (11.047.368.933),numeric__Bản chất giao dịch > Bán hàng hóa > Phí dịch vụ mua ngoài phân bổ,numeric__Giá trị giao dịch > 2025 VND > 3.646.778.132 > -,numeric__Giá trị giao dịch > 2024 VND > - > 6.743.062.666,numeric__Phải thu/(Phải trả) tại ngày > 31/12/2025 VND > 772.895.150 > -,numeric__Phải thu/(Phải trả) tại ngày > 1/1/2025 VND > - > (11.047.368.933)
Công ty Cổ phần Chứng khoán Kỹ thương,Công ty Cổ phần Chứng khoán Kỹ thương,Công ty Cổ phần Chứng khoán Kỹ thương,Bán chứng khoán kinh doanh,-,1.993.875.585.603,-,-,,,1993875585603.0,,
Thành viên quản lý chủ chốt (**),Thành viên quản lý chủ chốt (**),Thành viên quản lý chủ chốt (**),Thù lao trả cho thành viên quản lý chủ chốt,8.497.978.408,12.931.975.926,-,-,,8497978408.0,12931975926.0,,
