row_label_raw,row_label_full,col_0,31/12/2025 VND,1/1/2025 VND,numeric__31/12/2025 VND,numeric__1/1/2025 VND
Hỗ trợ bán hàng và khuyến mãi,Hỗ trợ bán hàng và khuyến mãi,Hỗ trợ bán hàng và khuyến mãi,856.905.578.621,1.005.063.887.545,856905578621.0,1005063887545.0
Chi phí quảng cáo,Chi phí quảng cáo,Chi phí quảng cáo,310.999.547.147,368.944.340.475,310999547147.0,368944340475.0
Chi phí vận chuyển,Chi phí vận chuyển,Chi phí vận chuyển,134.922.005.570,80.698.176.729,134922005570.0,80698176729.0
Chi phí nhân công thuê ngoài,Chi phí nhân công thuê ngoài,Chi phí nhân công thuê ngoài,54.819.534.158,100.773.003.024,54819534158.0,100773003024.0
Chi phí lãi vay,Chi phí lãi vay,Chi phí lãi vay,68.472.984.360,54.230.876.167,68472984360.0,54230876167.0
Chi phí thuê kê trưng bày,Chi phí thuê kê trưng bày,Chi phí thuê kê trưng bày,52.063.370.805,37.424.521.756,52063370805.0,37424521756.0
Chi phí bảo trì và sửa chữa,Chi phí bảo trì và sửa chữa,Chi phí bảo trì và sửa chữa,27.895.713.778,26.227.261.171,27895713778.0,26227261171.0
Chi phí nhiên liệu,Chi phí nhiên liệu,Chi phí nhiên liệu,9.141.916.745,9.117.752.039,9141916745.0,9117752039.0
Chi phí phải trả khác,Chi phí phải trả khác,Chi phí phải trả khác,238.889.479.354,433.295.443.090,238889479354.0,433295443090.0
,,,1.754.110.130.538,2.115.775.261.996,1754110130538.0,2115775261996.0
