row_label_raw,row_label_full,col_0,Quyền sử dụng đất VND,Nhân hiệu VND,Vùng nguyên liệu VND,Phần mềm máy vi tính VND,Tài sản cố định vô hình khác VND,Tổng VND,numeric__Quyền sử dụng đất VND,numeric__Nhân hiệu VND,numeric__Vùng nguyên liệu VND,numeric__Phần mềm máy vi tính VND,numeric__Tài sản cố định vô hình khác VND,numeric__Tổng VND
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,,,
Số dư đầu năm,Nguyên giá > Số dư đầu năm,Số dư đầu năm,735.225.325.622,276.413.594.392,164.964.058.635,233.618.730.019,55.970.342.848,1.466.192.051.516,735225325622.0,276413594392.0,164964058635.0,233618730019.0,55970342848.0,1466192051516.0
Tăng trong năm,Nguyên giá > Tăng trong năm,Tăng trong năm,-,61.688.107.485,-,1.812.866.425,-,63.500.973.910,,61688107485.0,,1812866425.0,,63500973910.0
Chuyển từ xây dựng cơ bản dở dang,Nguyên giá > Chuyển từ xây dựng cơ bản dở dang,Chuyển từ xây dựng cơ bản dở dang,-,-,-,6.970.292.700,-,6.970.292.700,,,,6970292700.0,,6970292700.0
Thanh lý/xóa số,Nguyên giá > Thanh lý/xóa số,Thanh lý/xóa số,-,-,-,(2.988.000.000),-,(2.988.000.000),,,,-2988000000.0,,-2988000000.0
Tăng khác,Nguyên giá > Tăng khác,Tăng khác,-,-,-,644.058.057,-,644.058.057,,,,644058057.0,,644058057.0
Chênh lệch quy đổi tiền tệ,Nguyên giá > Chênh lệch quy đổi tiền tệ,Chênh lệch quy đổi tiền tệ,7.611.352.962,-,-,2.207.093.360,1.792.427.155,11.610.873.477,7611352962.0,,,2207093360.0,1792427155.0,11610873477.0
Số dư cuối năm,Nguyên giá > Số dư cuối năm,Số dư cuối năm,742.836.678.584,338.101.701.877,164.964.058.635,242.265.040.561,57.762.770.003,1.545.930.249.660,742836678584.0,338101701877.0,164964058635.0,242265040561.0,57762770003.0,1545930249660.0
Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,,,,,,
Số dư đầu năm,Giá trị hao mòn lũy kế > Số dư đầu năm,Số dư đầu năm,100.662.202.388,81.298.115.996,54.988.019.545,161.173.696.662,37.706.185.203,435.828.219.794,100662202388.0,81298115996.0,54988019545.0,161173696662.0,37706185203.0,435828219794.0
Khấu hao trong năm,Giá trị hao mòn lũy kế > Khấu hao trong năm,Khấu hao trong năm,16.225.940.791,31.681.650.068,10.997.603.911,21.352.981.876,114.415.126,80.372.591.772,16225940791.0,31681650068.0,10997603911.0,21352981876.0,114415126.0,80372591772.0
Thanh lý/xóa số,Giá trị hao mòn lũy kế > Thanh lý/xóa số,Thanh lý/xóa số,-,-,-,(2.988.000.000),-,(2.988.000.000),,,,-2988000000.0,,-2988000000.0
Chênh lệch quy đổi tiền tệ,Giá trị hao mòn lũy kế > Chênh lệch quy đổi tiền tệ,Chênh lệch quy đổi tiền tệ,-,-,-,711.172.521,1.208.815.328,1.919.987.849,,,,711172521.0,1208815328.0,1919987849.0
Số dư cuối năm,Giá trị hao mòn lũy kế > Số dư cuối năm,Số dư cuối năm,116.888.143.179,112.979.766.064,65.985.623.456,180.249.851.059,39.029.415.657,515.132.799.415,116888143179.0,112979766064.0,65985623456.0,180249851059.0,39029415657.0,515132799415.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,,,
Số dư đầu năm,Giá trị còn lại > Số dư đầu năm,Số dư đầu năm,634.563.123.234,195.115.478.396,109.976.039.090,72.445.033.357,18.264.157.645,1.030.363.831.722,634563123234.0,195115478396.0,109976039090.0,72445033357.0,18264157645.0,1030363831722.0
Số dư cuối năm,Giá trị còn lại > Số dư cuối năm,Số dư cuối năm,625.948.535.405,225.121.935.813,98.978.435.179,62.015.189.502,18.733.354.346,1.030.797.450.245,625948535405.0,225121935813.0,98978435179.0,62015189502.0,18733354346.0,1030797450245.0
