row_label_raw,row_label_full,col_0,2025Triệu VND,2024Triệu VND,numeric__2025Triệu VND,numeric__2024Triệu VND
Thành viên Hội đồng quản trị,Thành viên Hội đồng quản trị,Thành viên Hội đồng quản trị,,,,
Tổng thù lao,Tổng thù lao,Tổng thù lao,,,,
Ông Nguyễn Hạnh Phúc – Chủ tịch,Tổng thù lao > Ông Nguyễn Hạnh Phúc – Chủ tịch,Ông Nguyễn Hạnh Phúc – Chủ tịch,3.261,3.360,3261.0,3360.0
Bà Mai Kiều Liên – Thành viên (i),Tổng thù lao > Bà Mai Kiều Liên – Thành viên (i),Bà Mai Kiều Liên – Thành viên (i),1.898,1.954,1898.0,1954.0
Ông Lee Meng Tat – Thành viên,Tổng thù lao > Ông Lee Meng Tat – Thành viên,Ông Lee Meng Tat – Thành viên,1.041,2.267,1041.0,2267.0
Bà Đặng Thị Thu Hà – Thành viên,Tổng thù lao > Bà Đặng Thị Thu Hà – Thành viên,Bà Đặng Thị Thu Hà – Thành viên,2.321,2.267,2321.0,2267.0
Ông Lê Thành Liêm – Thành viên (ii),Tổng thù lao > Ông Lê Thành Liêm – Thành viên (ii),Ông Lê Thành Liêm – Thành viên (ii),838,861,838.0,861.0
Ông Michael Chye Hin Fah – Thành viên,Tổng thù lao > Ông Michael Chye Hin Fah – Thành viên,Ông Michael Chye Hin Fah – Thành viên,2.428,2.501,2428.0,2501.0
Ông Đỗ Lê Hùng – Thành viên,Tổng thù lao > Ông Đỗ Lê Hùng – Thành viên,Ông Đỗ Lê Hùng – Thành viên,2.201,2.267,2201.0,2267.0
Ông Alain Xavier Cany – Thành viên,Tổng thù lao > Ông Alain Xavier Cany – Thành viên,Ông Alain Xavier Cany – Thành viên,2.428,2.501,2428.0,2501.0
Bà Tiêu Yến Trinh – Thành viên,Tổng thù lao > Bà Tiêu Yến Trinh – Thành viên,Bà Tiêu Yến Trinh – Thành viên,1.746,1.798,1746.0,1798.0
Ông Hoàng Ngọc Thạch – Thành viên,Tổng thù lao > Ông Hoàng Ngọc Thạch – Thành viên,Ông Hoàng Ngọc Thạch – Thành viên,1.148,2.501,1148.0,2501.0
Bà Tongjai Thanachanan - Thành viên,Tổng thù lao > Bà Tongjai Thanachanan - Thành viên,Bà Tongjai Thanachanan - Thành viên,1.160,-,1160.0,
Ông Vũ Trí Thức - Thành viên,Tổng thù lao > Ông Vũ Trí Thức - Thành viên,Ông Vũ Trí Thức - Thành viên,1.120,-,1120.0,
