row_label_raw,row_label_full,Tiền nhận góp vốn của cổ đông,Tiền nhận góp vốn của cổ đông_1,Tiền nhận góp vốn của cổ đông_2,Tiền nhận góp vốn của cổ đông_3,numeric__Tiền nhận góp vốn của cổ đông_1,numeric__Tiền nhận góp vốn của cổ đông_2,numeric__Tiền nhận góp vốn của cổ đông_3
không kiểm soát vào các công ty con,không kiểm soát vào các công ty con,không kiểm soát vào các công ty con,31,7.200.000.000,722.407.000.000,31.0,7200000000.0,722407000000.0
Tiền thu từ đi vay,Tiền thu từ đi vay,Tiền thu từ đi vay,33,19.498.782.774.514,17.420.429.433.188,33.0,19498782774514.0,17420429433188.0
Tiền chỉ trả nợ gốc vay,Tiền chỉ trả nợ gốc vay,Tiền chỉ trả nợ gốc vay,34,(19.323.424.243.601),(16.624.469.998.466),34.0,-19323424243601.0,-16624469998466.0
Tiền chỉ trả cổ tức,Tiền chỉ trả cổ tức,Tiền chỉ trả cổ tức,36,(11.264.484.596.250),(8.159.626.672.950),36.0,-11264484596250.0,-8159626672950.0
Lưu chuyển tiền thuần từ hoạt động tài chính,Lưu chuyển tiền thuần từ hoạt động tài chính,Lưu chuyển tiền thuần từ hoạt động tài chính,40,(11.081.926.065.337),(6.641.260.238.228),40.0,-11081926065337.0,-6641260238228.0
