row_label_raw,row_label_full,Bên cho vay > Ngân hàng Thương mại Cổ phần Ngoại thương Việt Nam > Ngân hàng Thương mại Cổ phần Công thương Việt Nam,Loại tiền tệ > VND,31/12/2025 VND > 4.763.790.522.906 > 1.297.991.496.365,1/1/2025 VND > 7.900.182.004.250 > 800.000.000.000,numeric__Loại tiền tệ > VND,numeric__31/12/2025 VND > 4.763.790.522.906 > 1.297.991.496.365,numeric__1/1/2025 VND > 7.900.182.004.250 > 800.000.000.000
Ngân hàng HSBC Hoa Kỳ,Ngân hàng HSBC Hoa Kỳ,Ngân hàng HSBC Hoa Kỳ,USD,39.387.431.511,45.864.045.000,,39387431511.0,45864045000.0
"Ngân hàng TNHH Một Thành viên HSBC Việt Nam, Chi nhánh Thành phố Hồ Chí Minh","Ngân hàng TNHH Một Thành viên HSBC Việt Nam, Chi nhánh Thành phố Hồ Chí Minh","Ngân hàng TNHH Một Thành viên HSBC Việt Nam, Chi nhánh Thành phố Hồ Chí Minh",VND,292.567.281.210,306.533.598.000,,292567281210.0,306533598000.0
"Ngân hàng Liên doanh Lào - Việt, Chi nhánh Xiêng Khoảng","Ngân hàng Liên doanh Lào - Việt, Chi nhánh Xiêng Khoảng","Ngân hàng Liên doanh Lào - Việt, Chi nhánh Xiêng Khoảng",USD,-,39.859.560.000,,,39859560000.0
Ngân hàng TNHH Công thương Việt Nam tại Lào,Ngân hàng TNHH Công thương Việt Nam tại Lào,Ngân hàng TNHH Công thương Việt Nam tại Lào,USD,-,22.995.900.000,,,22995900000.0
"Ngân hàng Nông nghiệp và Phát triển Nông thôn Việt Nam, Chi nhánh Trung tâm Sài Gòn","Ngân hàng Nông nghiệp và Phát triển Nông thôn Việt Nam, Chi nhánh Trung tâm Sài Gòn","Ngân hàng Nông nghiệp và Phát triển Nông thôn Việt Nam, Chi nhánh Trung tâm Sài Gòn",VND,3.000.000.000.000,-,,3000000000000.0,
,,,,9.393.736.731.992,9.115.435.107.250,,9393736731992.0,9115435107250.0
