row_label_raw,row_label_full,col_0,31/12/2025 > % vốn sở hữu và quyền biểu quyết,31/12/2025 > Giá trị ghi nhận theo phương pháp vốn chủ sở hữu/giá gốc VND,31/12/2025 > Giá trị hợp lý VND,31/12/2025 > Dự phòng giảm giá VND,1/1/2025 > % vốn sở hữu và quyền biểu quyết,1/1/2025 > Giá trị ghi nhận theo phương pháp vốn chủ sở hữu/giá gốc VND,1/1/2025 > Giá trị hợp lý VND,1/1/2025 > Dự phòng giảm giá VND,numeric__31/12/2025 > % vốn sở hữu và quyền biểu quyết,numeric__31/12/2025 > Giá trị ghi nhận theo phương pháp vốn chủ sở hữu/giá gốc VND,numeric__31/12/2025 > Giá trị hợp lý VND,numeric__31/12/2025 > Dự phòng giảm giá VND,numeric__1/1/2025 > % vốn sở hữu và quyền biểu quyết,numeric__1/1/2025 > Giá trị ghi nhận theo phương pháp vốn chủ sở hữu/giá gốc VND,numeric__1/1/2025 > Giá trị hợp lý VND,numeric__1/1/2025 > Dự phòng giảm giá VND
"Đầu tư vào các công ty liên doanh, liên kết","Đầu tư vào các công ty liên doanh, liên kết","Đầu tư vào các công ty liên doanh, liên kết","Đầu tư vào các công ty liên doanh, liên kết","Đầu tư vào các công ty liên doanh, liên kết","Đầu tư vào các công ty liên doanh, liên kết","Đầu tư vào các công ty liên doanh, liên kết","Đầu tư vào các công ty liên doanh, liên kết","Đầu tư vào các công ty liên doanh, liên kết","Đầu tư vào các công ty liên doanh, liên kết","Đầu tư vào các công ty liên doanh, liên kết",,,,,,,,
"▪ Taupomh Limited (trước dây là ""Miraka Holdings Limited"")","Đầu tư vào các công ty liên doanh, liên kết > ▪ Taupomh Limited (trước dây là ""Miraka Holdings Limited"")","▪ Taupomh Limited (trước dây là ""Miraka Holdings Limited"")","13,55%",-,(*),-,"13,55%",221.404.591.006,(*),-,0.1355,,,,0.1355,221404591006.0,,
▪ Công ty Cổ phần APIS,"Đầu tư vào các công ty liên doanh, liên kết > ▪ Công ty Cổ phần APIS",▪ Công ty Cổ phần APIS,"20,00%",64.753.338.714,(*),-,"20,00%",56.176.599.876,(*),-,0.2,64753338714.0,,,0.2,56176599876.0,,
▪ Công ty Cổ phần Chế biến Dừa Á Châu,"Đầu tư vào các công ty liên doanh, liên kết > ▪ Công ty Cổ phần Chế biến Dừa Á Châu",▪ Công ty Cổ phần Chế biến Dừa Á Châu,"24,96%",281.431.848.125,(*),-,"24,96%",171.921.215.787,(*),-,0.24960000000000002,281431848125.0,,,0.24960000000000002,171921215787.0,,
"▪ Del Monte – Vinamilk Dairy Philippines, Inc.","Đầu tư vào các công ty liên doanh, liên kết > ▪ Del Monte – Vinamilk Dairy Philippines, Inc.","▪ Del Monte – Vinamilk Dairy Philippines, Inc.",-,-,,-,"50,00%",317.355.090,(*),-,,,,,0.5,317355090.0,,
▪ Các công ty liên kết sở hữu gián tiếp thông qua Tổng Công ty Chăn nuôi Việt Nam – Công ty Cổ phần,"Đầu tư vào các công ty liên doanh, liên kết > ▪ Các công ty liên kết sở hữu gián tiếp thông qua Tổng Công ty Chăn nuôi Việt Nam – Công ty Cổ phần",▪ Các công ty liên kết sở hữu gián tiếp thông qua Tổng Công ty Chăn nuôi Việt Nam – Công ty Cổ phần,,164.998.882.785,(*),-,,172.403.931.021,(*),-,,164998882785.0,,,,172403931021.0,,
,,,,511.184.069.624,,-,,622.223.692.780,,-,,511184069624.0,,,,622223692780.0,,
Đầu tư góp vốn vào các đơn vị khác,Đầu tư góp vốn vào các đơn vị khác,Đầu tư góp vốn vào các đơn vị khác,Đầu tư góp vốn vào các đơn vị khác,Đầu tư góp vốn vào các đơn vị khác,Đầu tư góp vốn vào các đơn vị khác,Đầu tư góp vốn vào các đơn vị khác,Đầu tư góp vốn vào các đơn vị khác,Đầu tư góp vốn vào các đơn vị khác,Đầu tư góp vốn vào các đơn vị khác,Đầu tư góp vốn vào các đơn vị khác,,,,,,,,
▪ Công ty Cổ phần Nguyên liệu Thực phẩm Á Châu Sài Gòn,Đầu tư góp vốn vào các đơn vị khác > ▪ Công ty Cổ phần Nguyên liệu Thực phẩm Á Châu Sài Gòn,▪ Công ty Cổ phần Nguyên liệu Thực phẩm Á Châu Sài Gòn,"14,71%",69.261.607.154,(*),-,"14,71%",69.261.607.154,(*),-,0.1471,69261607154.0,,,0.1471,69261607154.0,,
▪ Nhà thuốc – Phòng khám đa khoa An Khang,Đầu tư góp vốn vào các đơn vị khác > ▪ Nhà thuốc – Phòng khám đa khoa An Khang,▪ Nhà thuốc – Phòng khám đa khoa An Khang,,300.000.000,(*),-,,300.000.000,(*),-,,300000000.0,,,,300000000.0,,
▪ Các đơn vị khác,Đầu tư góp vốn vào các đơn vị khác > ▪ Các đơn vị khác,▪ Các đơn vị khác,,25.016.803.927,(*),(23.983.512.327),,24.987.067.927,(*),(23.582.690.668),,25016803927.0,,-23983512327.0,,24987067927.0,,-23582690668.0
,,,,94.578.411.081,,(23.983.512.327),,94.548.675.081,,(23.582.690.668),,94578411081.0,,-23983512327.0,,94548675081.0,,-23582690668.0
,,,,605.762.480.705,,(23.983.512.327),,716.772.367.861,,(23.582.690.668),,605762480705.0,,-23983512327.0,,716772367861.0,,-23582690668.0
