row_label_raw,row_label_full,col_0,Nhà cửa và vật kiến trúc VND,Máy móc và thiết bị VND,Phương tiện vận chuyển VND,Thiết bị văn phòng VND,Gia súc VND,Tài sản khác VND,Tổng VND,numeric__Nhà cửa và vật kiến trúc VND,numeric__Máy móc và thiết bị VND,numeric__Phương tiện vận chuyển VND,numeric__Thiết bị văn phòng VND,numeric__Gia súc VND,numeric__Tài sản khác VND,numeric__Tổng VND
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,,,,
Số dư đầu năm,Nguyên giá > Số dư đầu năm,Số dư đầu năm,7.508.807.997.307,21.476.587.046.197,1.419.738.280.213,753.407.764.903,1.553.827.339.813,683.504.566,32.713.051.932.999,7508807997307.0,21476587046197.0,1419738280213.0,753407764903.0,1553827339813.0,683504566.0,32713051932999.0
Tăng trong năm,Nguyên giá > Tăng trong năm,Tăng trong năm,37.615.192.870,363.122.342.706,25.901.533.175,37.903.292.806,-,536.548.860,465.078.910.417,37615192870.0,363122342706.0,25901533175.0,37903292806.0,,536548860.0,465078910417.0
Chuyển từ xây dựng cơ bản dở dang,Nguyên giá > Chuyển từ xây dựng cơ bản dở dang,Chuyển từ xây dựng cơ bản dở dang,580.179.989.917,705.926.315.671,16.973.522.642,8.227.437.386,-,-,1.311.307.265.616,580179989917.0,705926315671.0,16973522642.0,8227437386.0,,,1311307265616.0
Chuyển từ/sang hàng tồn kho,Nguyên giá > Chuyển từ/sang hàng tồn kho,Chuyển từ/sang hàng tồn kho,-,-,-,-,464.838.563.104,-,464.838.563.104,,,,,464838563104.0,,464838563104.0
Chuyển sang chi phí trả trước,Nguyên giá > Chuyển sang chi phí trả trước,Chuyển sang chi phí trả trước,-,(44.090.909),-,-,-,-,(44.090.909),,-44090909.0,,,,,-44090909.0
Thanh lý/xóa số,Nguyên giá > Thanh lý/xóa số,Thanh lý/xóa số,(21.116.005.610),(67.375.424.550),(26.461.793.527),(5.495.683.942),(350.736.998.317),-,(471.185.905.946),-21116005610.0,-67375424550.0,-26461793527.0,-5495683942.0,-350736998317.0,,-471185905946.0
Phân loại lại,Nguyên giá > Phân loại lại,Phân loại lại,-,89.000.000,-,(89.000.000),-,-,-,,89000000.0,,-89000000.0,,,
Tăng/(giảm) khác,Nguyên giá > Tăng/(giảm) khác,Tăng/(giảm) khác,(633.992.886),2.626.293.240,-,-,-,-,1.992.300.354,-633992886.0,2626293240.0,,,,,1992300354.0
Chênh lệch quy đổi tiền tệ,Nguyên giá > Chênh lệch quy đổi tiền tệ,Chênh lệch quy đổi tiền tệ,31.839.691.814,52.855.892.464,3.676.218.156,1.110.700.608,6.976.921.280,22.058.681,96.481.483.003,31839691814.0,52855892464.0,3676218156.0,1110700608.0,6976921280.0,22058681.0,96481483003.0
Số dư cuối năm,Nguyên giá > Số dư cuối năm,Số dư cuối năm,8.136.692.873.412,22.533.787.374.819,1.439.827.760.659,795.064.511.761,1.674.905.825.880,1.242.112.107,34.581.520.458.638,8136692873412.0,22533787374819.0,1439827760659.0,795064511761.0,1674905825880.0,1242112107.0,34581520458638.0
Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,,,,,,,
Số dư đầu năm,Giá trị hao mòn lũy kế > Số dư đầu năm,Số dư đầu năm,3.280.437.165.605,15.660.027.161.592,1.093.422.532.338,636.218.432.792,522.443.212.342,302.460.831,21.192.850.965.500,3280437165605.0,15660027161592.0,1093422532338.0,636218432792.0,522443212342.0,302460831.0,21192850965500.0
