row_label_raw,row_label_full,col_0,Vốn cổ phần VND,Thặng dư vốn cổ phần VND,Vốn khác của chủ sở hữu VND,Chênh lệch quy đổi tiền tệ VND,Quỹ đầu tư phát triển VND,Lợi nhuận sau thuế chưa phân phối VND,Lợi ích cổ đông không kiểm soát VND,Tổng VND,numeric__Vốn cổ phần VND,numeric__Thặng dư vốn cổ phần VND,numeric__Vốn khác của chủ sở hữu VND,numeric__Chênh lệch quy đổi tiền tệ VND,numeric__Quỹ đầu tư phát triển VND,numeric__Lợi nhuận sau thuế chưa phân phối VND,numeric__Lợi ích cổ đông không kiểm soát VND,numeric__Tổng VND
Số dư tại ngày 1 tháng 1 năm 2024,Số dư tại ngày 1 tháng 1 năm 2024,Số dư tại ngày 1 tháng 1 năm 2024,20.899.554.450.000,34.110.709.700,499.080.803.215,174.100.152.253,6.163.736.586.996,3.926.232.003.987,3.328.929.059.319,35.025.743.765.470,20899554450000.0,34110709700.0,499080803215.0,174100152253.0,6163736586996.0,3926232003987.0,3328929059319.0,35025743765470.0
Cổ đông không kiểm soát góp vốn vào một công ty con,Cổ đông không kiểm soát góp vốn vào một công ty con,Cổ đông không kiểm soát góp vốn vào một công ty con,-,-,-,-,-,-,722.407.000.000,722.407.000.000,,,,,,,722407000000.0,722407000000.0
Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,-,-,-,-,-,9.392.310.356.250,60.582.633.698,9.452.892.989.948,,,,,,9392310356250.0,60582633698.0,9452892989948.0
Trích quỹ thuộc vốn chủ sở hữu,Trích quỹ thuộc vốn chủ sở hữu,Trích quỹ thuộc vốn chủ sở hữu,-,-,-,-,915.378.034.366,(915.378.034.366),-,-,,,,,915378034366.0,-915378034366.0,,
Trích quỹ khen thưởng và phúc lợi (Thuyết minh V.20),Trích quỹ khen thưởng và phúc lợi (Thuyết minh V.20),Trích quỹ khen thưởng và phúc lợi (Thuyết minh V.20),-,-,-,-,-,(986.477.390.814),(14.427.719.901),(1.000.905.110.715),,,,,,-986477390814.0,-14427719901.0,-1000905110715.0
Cổ tức,Cổ tức,Cổ tức,-,-,-,-,-,(8.046.328.463.494),-,(8.046.328.463.494),,,,,,-8046328463494.0,,-8046328463494.0
Cổ tức của công ty con chia cho cổ đông không kiểm soát,Cổ tức của công ty con chia cho cổ đông không kiểm soát,Cổ tức của công ty con chia cho cổ đông không kiểm soát,-,-,-,-,-,-,(113.353.196.098),(113.353.196.098),,,,,,,-113353196098.0,-113353196098.0
Tăng/(giảm) khác,Tăng/(giảm) khác,Tăng/(giảm) khác,-,-,-,(12.311.785.849),-,100.866.274.209,(88.554.488.360),-,,,,-12311785849.0,,100866274209.0,-88554488360.0,
Chênh lệch quy đổi tiền tệ,Chênh lệch quy đổi tiền tệ,Chênh lệch quy đổi tiền tệ,-,-,-,133.945.844.552,-,-,-,133.945.844.552,,,,133945844552.0,,,,133945844552.0
Số dư tại ngày 1 tháng 1 năm 2025,Số dư tại ngày 1 tháng 1 năm 2025,Số dư tại ngày 1 tháng 1 năm 2025,20.899.554.450.000,34.110.709.700,499.080.803.215,295.734.210.956,7.079.114.621.362,3.471.224.745.772,3.895.583.288.658,36.174.402.829.663,20899554450000.0,34110709700.0,499080803215.0,295734210956.0,7079114621362.0,3471224745772.0,3895583288658.0,36174402829663.0
Cổ đông không kiểm soát góp vốn vào một công ty con,Cổ đông không kiểm soát góp vốn vào một công ty con,Cổ đông không kiểm soát góp vốn vào một công ty con,-,-,-,-,-,-,7.200.000.000,7.200.000.000,,,,,,,7200000000.0,7200000000.0
Lợi nhuận chưa phân phối chuyển thành vốn góp của một công ty con,Lợi nhuận chưa phân phối chuyển thành vốn góp của một công ty con,Lợi nhuận chưa phân phối chuyển thành vốn góp của một công ty con,-,-,247.745.925.630,-,-,(247.745.925.630),-,-,,,247745925630.0,,,-247745925630.0,,
Thay đổi lợi ích kinh tế trong một công ty con,Thay đổi lợi ích kinh tế trong một công ty con,Thay đổi lợi ích kinh tế trong một công ty con,-,-,-,5.330.363.886,-,14.505.372.218,(19.835.736.104),-,,,,5330363886.0,,14505372218.0,-19835736104.0,
Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,-,-,-,-,-,9.410.201.646.692,3.388.085.777,9.413.589.732.469,,,,,,9410201646692.0,3388085777.0,9413589732469.0
Hoàn nhập quỹ đầu tư phát triển (Thuyết minh IV.24(b)),Hoàn nhập quỹ đầu tư phát triển (Thuyết minh IV.24(b)),Hoàn nhập quỹ đầu tư phát triển (Thuyết minh IV.24(b)),-,-,-,-,(7.000.391.696.765),7.000.391.696.765,-,-,,,,,-7000391696765.0,7000391696765.0,,
Trích quỹ khen thưởng và phúc lợi (Thuyết minh V.20),Trích quỹ khen thưởng và phúc lợi (Thuyết minh V.20),Trích quỹ khen thưởng và phúc lợi (Thuyết minh V.20),-,-,-,-,-,(992.817.578.863),(10.798.094.271),(1.003.615.673.134),,,,,,-992817578863.0,-10798094271.0,-1003615673134.0
Cổ tức,Cổ tức,Cổ tức,-,-,-,-,-,(10.136.283.867.897),-,(10.136.283.867.897),,,,,,-10136283867897.0,,-10136283867897.0
Cổ tức của công ty con chia cho cổ đông không kiểm soát,Cổ tức của công ty con chia cho cổ đông không kiểm soát,Cổ tức của công ty con chia cho cổ đông không kiểm soát,-,-,-,-,-,-,(83.222.965.501),(83.222.965.501),,,,,,,-83222965501.0,-83222965501.0
Tăng khác,Tăng khác,Tăng khác,-,-,-,-,-,3.100.333.166,1.669.415.775,4.769.748.941,,,,,,3100333166.0,1669415775.0,4769748941.0
Chênh lệch quy đổi tiền tệ,Chênh lệch quy đổi tiền tệ,Chênh lệch quy đổi tiền tệ,-,-,-,102.527.096.679,-,-,3.648.384.887,106.175.481.566,,,,102527096679.0,,,3648384887.0,106175481566.0
Số dư tại ngày 31 tháng 12 năm 2025,Số dư tại ngày 31 tháng 12 năm 2025,Số dư tại ngày 31 tháng 12 năm 2025,20.899.554.450.000,34.110.709.700,746.826.728.845,403.591.671.521,78.722.924.597,8.522.576.422.223,3.797.632.379.221,34.483.015.286.107,20899554450000.0,34110709700.0,746826728845.0,403591671521.0,78722924597.0,8522576422223.0,3797632379221.0,34483015286107.0
