row_label_raw,row_label_full,Tại ngày 31 tháng 12 năm 2025,USD triệu đồng,EUR triệu đồng,Tiền tệ khác triệu đồng,Tổng cộng triệu đồng,numeric__USD triệu đồng,numeric__EUR triệu đồng,numeric__Tiền tệ khác triệu đồng,numeric__Tổng cộng triệu đồng
Tài sản,Tài sản,Tài sản,,,,,,,,
"Tiền mặt vàng bạc, đá quý","Tài sản > Tiền mặt vàng bạc, đá quý","Tiền mặt vàng bạc, đá quý",1.841.672,91.779,26.435,1.959.886,1841672.0,91779.0,26435.0,1959886.0
Tiền gửi tại NHNN,Tài sản > Tiền gửi tại NHNN,Tiền gửi tại NHNN,367.785,43,-,367.828,367785.0,43.0,,367828.0
Tiền gửi tại và cho vay các TCTD khác (*),Tài sản > Tiền gửi tại và cho vay các TCTD khác (*),Tiền gửi tại và cho vay các TCTD khác (*),3.273.592,57.821,99.698,3.431.111,3273592.0,57821.0,99698.0,3431111.0
Các công cụ tài chính phải sinh và các tài sản chính khác,Tài sản > Các công cụ tài chính phải sinh và các tài sản chính khác,Các công cụ tài chính phải sinh và các tài sản chính khác,55.487.262,648.785,891.998,57.028.045,55487262.0,648785.0,891998.0,57028045.0
Cho vay khách hàng và hoạt động mua nợ (*),Tài sản > Cho vay khách hàng và hoạt động mua nợ (*),Cho vay khách hàng và hoạt động mua nợ (*),569.274,-,-,569.274,569274.0,,,569274.0
"Góp vốn, đầu tư dài hạn","Tài sản > Góp vốn, đầu tư dài hạn","Góp vốn, đầu tư dài hạn",542,-,-,542,542.0,,,542.0
Tài sản Có khác (*),Tài sản > Tài sản Có khác (*),Tài sản Có khác (*),450.865,803,348,452.016,450865.0,803.0,348.0,452016.0
Tổng tài sản,Tài sản > Tổng tài sản,Tổng tài sản,61.990.992,799.231,1.018.479,63.808.702,61990992.0,799231.0,1018479.0,63808702.0
Nợ phải trả,Nợ phải trả,Nợ phải trả,,,,,,,,
Tiền gửi của và vay từ NHNN và các TCTD khác,Nợ phải trả > Tiền gửi của và vay từ NHNN và các TCTD khác,Tiền gửi của và vay từ NHNN và các TCTD khác,44.263.145,-,-,44.263.145,44263145.0,,,44263145.0
Tiền gửi của khách hàng,Nợ phải trả > Tiền gửi của khách hàng,Tiền gửi của khách hàng,21.033.270,790.388,329.206,22.152.864,21033270.0,790388.0,329206.0,22152864.0
Các khoản nợ khác,Nợ phải trả > Các khoản nợ khác,Các khoản nợ khác,385.740,2.491,4.848,393.079,385740.0,2491.0,4848.0,393079.0
Tổng nợ phải trả,Nợ phải trả > Tổng nợ phải trả,Tổng nợ phải trả,65.682.155,792.879,334.054,66.809.088,65682155.0,792879.0,334054.0,66809088.0
Trạng thái tiền tệ nội bằng,Nợ phải trả > Trạng thái tiền tệ nội bằng,Trạng thái tiền tệ nội bằng,(3.691.163),6.352,684.425,(3.000.386),-3691163.0,6352.0,684425.0,-3000386.0
Trạng thái tiền tệ ngoại bằng,Nợ phải trả > Trạng thái tiền tệ ngoại bằng,Trạng thái tiền tệ ngoại bằng,3.786.298,(3.721),(674.022),3.108.555,3786298.0,-3721.0,-674022.0,3108555.0
"Trạng thái tiền tệ nội, ngoại bằng","Nợ phải trả > Trạng thái tiền tệ nội, ngoại bằng","Trạng thái tiền tệ nội, ngoại bằng",95.135,2.631,10.403,108.169,95135.0,2631.0,10403.0,108169.0
