row_label_raw,row_label_full,Tại ngày 31 tháng 12 năm 2024,USD triệu đồng,EUR triệu đồng,Tiền tệ khác triệu đồng,Tổng cộng triệu đồng,numeric__USD triệu đồng,numeric__EUR triệu đồng,numeric__Tiền tệ khác triệu đồng,numeric__Tổng cộng triệu đồng
Tải sản,Tải sản,Tải sản,Tải sản,Tải sản,Tải sản,Tải sản,,,,
"Tiền mặt vàng bạc, đá quý","Tải sản > Tiền mặt vàng bạc, đá quý","Tiền mặt vàng bạc, đá quý",359.720,56.577,27.871,444.168,359720.0,56577.0,27871.0,444168.0
Tiền gửi tại NHNN,Tải sản > Tiền gửi tại NHNN,Tiền gửi tại NHNN,485.656,37,-,485.693,485656.0,37.0,,485693.0
Tiền gửi tại và cho vay các TCTD khác (*),Tải sản > Tiền gửi tại và cho vay các TCTD khác (*),Tiền gửi tại và cho vay các TCTD khác (*),434.681,114.223,112.601,661.505,434681.0,114223.0,112601.0,661505.0
Các công cụ tài chính phải sinh và các tài sản chính khác,Tải sản > Các công cụ tài chính phải sinh và các tài sản chính khác,Các công cụ tài chính phải sinh và các tài sản chính khác,39.536.612,318.942,857.512,40.713.066,39536612.0,318942.0,857512.0,40713066.0
Cho vay khách hàng và hoạt động mua nợ (*),Tải sản > Cho vay khách hàng và hoạt động mua nợ (*),Cho vay khách hàng và hoạt động mua nợ (*),3.423.588,-,-,3.423.588,3423588.0,,,3423588.0
"Góp vốn, đầu tư dài hạn","Tải sản > Góp vốn, đầu tư dài hạn","Góp vốn, đầu tư dài hạn",542,-,-,542,542.0,,,542.0
Tài sản Có khác (*),Tải sản > Tài sản Có khác (*),Tài sản Có khác (*),334.289,328,307,334.924,334289.0,328.0,307.0,334924.0
Tổng tài sản,Tải sản > Tổng tài sản,Tổng tài sản,44.575.088,490.107,998.291,46.063.486,44575088.0,490107.0,998291.0,46063486.0
Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,,,,
Tiền gửi của và vay từ NHNN và các TCTD khác,Nợ phải trả > Tiền gửi của và vay từ NHNN và các TCTD khác,Tiền gửi của và vay từ NHNN và các TCTD khác,27.004.804,-,-,27.004.804,27004804.0,,,27004804.0
Tiền gửi của khách hàng,Nợ phải trả > Tiền gửi của khách hàng,Tiền gửi của khách hàng,16.868.441,485.586,312.348,17.666.375,16868441.0,485586.0,312348.0,17666375.0
Các khoản nợ khác,Nợ phải trả > Các khoản nợ khác,Các khoản nợ khác,206.484,1.743,7.383,215.610,206484.0,1743.0,7383.0,215610.0
Tổng nợ phải trả,Nợ phải trả > Tổng nợ phải trả,Tổng nợ phải trả,44.079.729,487.329,319.731,44.886.789,44079729.0,487329.0,319731.0,44886789.0
Trạng thái tiền tệ nội bằng,Nợ phải trả > Trạng thái tiền tệ nội bằng,Trạng thái tiền tệ nội bằng,495.359,2.778,678.560,1.176.697,495359.0,2778.0,678560.0,1176697.0
Trạng thái tiền tệ ngoại bằng,Nợ phải trả > Trạng thái tiền tệ ngoại bằng,Trạng thái tiền tệ ngoại bằng,203.577,319,(651.246),(447.350),203577.0,319.0,-651246.0,-447350.0
"Trạng thái tiền tệ nội, ngoại bằng","Nợ phải trả > Trạng thái tiền tệ nội, ngoại bằng","Trạng thái tiền tệ nội, ngoại bằng",698.936,3.097,27.314,729.347,698936.0,3097.0,27314.0,729347.0
