row_label_raw,row_label_full,col_0,Phân mềmvi tính,Tài sân cố địnhvô hình khác,Đơn vị: triệu đồngTổng cộng,numeric__Phân mềmvi tính,numeric__Tài sân cố địnhvô hình khác,numeric__Đơn vị: triệu đồngTổng cộng
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,
Tại ngày 1/1/2025,Nguyên giá > Tại ngày 1/1/2025,Tại ngày 1/1/2025,769.785,7.246,777.031,769785.0,7246.0,777031.0
Mua trong năm,Nguyên giá > Mua trong năm,Mua trong năm,66.813,-,66.813,66813.0,,66813.0
Thanh lý trong năm,Nguyên giá > Thanh lý trong năm,Thanh lý trong năm,(341),-,(341),-341.0,,-341.0
Tại ngày 31/12/2025,Nguyên giá > Tại ngày 31/12/2025,Tại ngày 31/12/2025,836.257,7.246,843.503,836257.0,7246.0,843503.0
Hao mòn luỹ kế,Hao mòn luỹ kế,Hao mòn luỹ kế,Hao mòn luỹ kế,Hao mòn luỹ kế,Hao mòn luỹ kế,,,
Tại ngày 1/1/2025,Hao mòn luỹ kế > Tại ngày 1/1/2025,Tại ngày 1/1/2025,467.722,7.246,474.968,467722.0,7246.0,474968.0
Hao mòn trong năm,Hao mòn luỹ kế > Hao mòn trong năm,Hao mòn trong năm,70.591,-,70.591,70591.0,,70591.0
Tại ngày 31/12/2025,Hao mòn luỹ kế > Tại ngày 31/12/2025,Tại ngày 31/12/2025,538.313,7.246,545.559,538313.0,7246.0,545559.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,
Tại ngày 1/1/2025,Giá trị còn lại > Tại ngày 1/1/2025,Tại ngày 1/1/2025,302.063,-,302.063,302063.0,,302063.0
Tại ngày 31/12/2025,Giá trị còn lại > Tại ngày 31/12/2025,Tại ngày 31/12/2025,297.944,-,297.944,297944.0,,297944.0
