row_label_raw,row_label_full,Tại ngày 31 tháng 12 năm 2025,Quá hạn > Đến 3 tháng,Quá hạn > Trên 3 tháng,Trong hạn > Đến 1 tháng,Trong hạn > Từ trên1 đến3 tháng,Trong hạn > Từ trên3 đến12 tháng,Trong hạn > Từ trên1 năm đến5 năm,Đơn vị: triệu đồng > Trên5 năm,Đơn vị: triệu đồng > Tổng,numeric__Quá hạn > Đến 3 tháng,numeric__Quá hạn > Trên 3 tháng,numeric__Trong hạn > Đến 1 tháng,numeric__Trong hạn > Từ trên1 đến3 tháng,numeric__Trong hạn > Từ trên3 đến12 tháng,numeric__Trong hạn > Từ trên1 năm đến5 năm,numeric__Đơn vị: triệu đồng > Trên5 năm,numeric__Đơn vị: triệu đồng > Tổng
Tải sản,Tải sản,Tải sản,,,,,,,,,,,,,,,,
"Tiền mặt vàng bạc, đá quý","Tải sản > Tiền mặt vàng bạc, đá quý","Tiền mặt vàng bạc, đá quý",-,-,3.552.574,-,-,-,-,3.552.574,,,3552574.0,,,,,3552574.0
Tiền gửi tại NHNN,Tải sản > Tiền gửi tại NHNN,Tiền gửi tại NHNN,-,-,8.998.068,-,-,-,-,8.998.068,,,8998068.0,,,,,8998068.0
Tiền gửi tại và cho vay các TCTD khác (*),Tải sản > Tiền gửi tại và cho vay các TCTD khác (*),Tiền gửi tại và cho vay các TCTD khác (*),-,-,75.468.952,16.241.144,12.701.024,-,-,104.411.120,,,75468952.0,16241144.0,12701024.0,,,104411120.0
Cho vay khách hàng và hoạt động mua nợ (*),Tải sản > Cho vay khách hàng và hoạt động mua nợ (*),Cho vay khách hàng và hoạt động mua nợ (*),2.821.788,6.795.057,21.231.515,46.804.956,107.859.790,89.563.830,106.899.446,381.976.382,2821788.0,6795057.0,21231515.0,46804956.0,107859790.0,89563830.0,106899446.0,381976382.0
Chứng khoán đầu tư (*),Tải sản > Chứng khoán đầu tư (*),Chứng khoán đầu tư (*),-,-,-,2.800.708,37.503.319,2.656.187,8.189.317,51.149.531,,,,2800708.0,37503319.0,2656187.0,8189317.0,51149531.0
"Góp vốn, đầu tư dài hạn (*)","Tải sản > Góp vốn, đầu tư dài hạn (*)","Góp vốn, đầu tư dài hạn (*)",-,-,-,-,-,-,69.667,69.667,,,,,,,69667.0,69667.0
Tải sản cố định và bất động sản đầu tư,Tải sản > Tải sản cố định và bất động sản đầu tư,Tải sản cố định và bất động sản đầu tư,-,-,-,-,-,-,849.078,849.078,,,,,,,849078.0,849078.0
Tải sản Có khác (*),Tải sản > Tải sản Có khác (*),Tải sản Có khác (*),-,-,3.902.271,-,6.048.815,-,-,9.951.086,,,3902271.0,,6048815.0,,,9951086.0
Tổng tài sản,Tải sản > Tổng tài sản,Tổng tài sản,2.821.788,6.795.057,113.153.380,65.846.808,164.112.948,92.220.017,116.007.508,560.957.506,2821788.0,6795057.0,113153380.0,65846808.0,164112948.0,92220017.0,116007508.0,560957506.0
Nợ phải trả,Nợ phải trả,Nợ phải trả,,,,,,,,,,,,,,,,
Tiền gửi của và vay từ NHNN và các TCTD khác,Nợ phải trả > Tiền gửi của và vay từ NHNN và các TCTD khác,Tiền gửi của và vay từ NHNN và các TCTD khác,-,-,134.710.034,12.192.198,16.329.828,5.257.714,-,168.489.774,,,134710034.0,12192198.0,16329828.0,5257714.0,,168489774.0
Tiền gửi của khách hàng,Nợ phải trả > Tiền gửi của khách hàng,Tiền gửi của khách hàng,-,-,92.020.722,53.732.498,93.525.938,55.298.503,-,294.577.661,,,92020722.0,53732498.0,93525938.0,55298503.0,,294577661.0
Các công cụ tài chính phải sinh và các khoản nợ tài chính khác,Nợ phải trả > Các công cụ tài chính phải sinh và các khoản nợ tài chính khác,Các công cụ tài chính phải sinh và các khoản nợ tài chính khác,-,-,105.602,-,-,-,-,105.602,,,105602.0,,,,,105602.0
"Vốn tài trợ, ủy thác đầu tư, cho vay TCTD chịu rủi ro","Nợ phải trả > Vốn tài trợ, ủy thác đầu tư, cho vay TCTD chịu rủi ro","Vốn tài trợ, ủy thác đầu tư, cho vay TCTD chịu rủi ro",-,-,-,-,3.306,-,-,3.306,,,,,3306.0,,,3306.0
Phát hành giấy tờ có giá,Nợ phải trả > Phát hành giấy tờ có giá,Phát hành giấy tờ có giá,-,-,800.700,500.000,2.500.000,25.270.000,6.000.000,35.070.700,,,800700.0,500000.0,2500000.0,25270000.0,6000000.0,35070700.0
Các khoản nợ khác,Nợ phải trả > Các khoản nợ khác,Các khoản nợ khác,-,-,4.317.241,-,3.800.183,-,2.829.235,10.946.659,,,4317241.0,,3800183.0,,2829235.0,10946659.0
Tổng nợ phải trả,Nợ phải trả > Tổng nợ phải trả,Tổng nợ phải trả,-,-,231.954.299,66.424.696,116.159.255,85.826.217,8.829.235,509.193.702,,,231954299.0,66424696.0,116159255.0,85826217.0,8829235.0,509193702.0
Mức chênh thanh khoản ròng,Nợ phải trả > Mức chênh thanh khoản ròng,Mức chênh thanh khoản ròng,2.821.788,6.795.057,(118.800.919),(577.888),47.953.693,6.393.800,107.178.273,51.763.804,2821788.0,6795057.0,-118800919.0,-577888.0,47953693.0,6393800.0,107178273.0,51763804.0
