row_label_raw,row_label_full,Bên liên quan,31/12/2025 triệu đồng,31/12/2024 triệu đồng,numeric__31/12/2025 triệu đồng,numeric__31/12/2024 triệu đồng
"Thành viên Hội đồng Quản trị, Ban Kiểm soát,Ban Tổng Giám đốc và Kế toán trường","Thành viên Hội đồng Quản trị, Ban Kiểm soát,Ban Tổng Giám đốc và Kế toán trường","Thành viên Hội đồng Quản trị, Ban Kiểm soát,Ban Tổng Giám đốc và Kế toán trường","Thành viên Hội đồng Quản trị, Ban Kiểm soát,Ban Tổng Giám đốc và Kế toán trường","Thành viên Hội đồng Quản trị, Ban Kiểm soát,Ban Tổng Giám đốc và Kế toán trường",,
Cho vay,"Thành viên Hội đồng Quản trị, Ban Kiểm soát,Ban Tổng Giám đốc và Kế toán trường > Cho vay",Cho vay,10.417,1.080,10417.0,1080.0
Tiền gửi không kỳ hạn tại Ngân hàng,"Thành viên Hội đồng Quản trị, Ban Kiểm soát,Ban Tổng Giám đốc và Kế toán trường > Tiền gửi không kỳ hạn tại Ngân hàng",Tiền gửi không kỳ hạn tại Ngân hàng,12.992,10.047,12992.0,10047.0
Tiền gửi có kỳ hạn tại Ngân hàng,"Thành viên Hội đồng Quản trị, Ban Kiểm soát,Ban Tổng Giám đốc và Kế toán trường > Tiền gửi có kỳ hạn tại Ngân hàng",Tiền gửi có kỳ hạn tại Ngân hàng,15.655,5.938,15655.0,5938.0
Giấy tờ có giá Ngân hàng phát hành,"Thành viên Hội đồng Quản trị, Ban Kiểm soát,Ban Tổng Giám đốc và Kế toán trường > Giấy tờ có giá Ngân hàng phát hành",Giấy tờ có giá Ngân hàng phát hành,2.727,-,2727.0,
Lãi phải thu cho vay,"Thành viên Hội đồng Quản trị, Ban Kiểm soát,Ban Tổng Giám đốc và Kế toán trường > Lãi phải thu cho vay",Lãi phải thu cho vay,98,-,98.0,
Lãi phải trả tiền gửi có kỳ hạn tại Ngân hàng,"Thành viên Hội đồng Quản trị, Ban Kiểm soát,Ban Tổng Giám đốc và Kế toán trường > Lãi phải trả tiền gửi có kỳ hạn tại Ngân hàng",Lãi phải trả tiền gửi có kỳ hạn tại Ngân hàng,115,31,115.0,31.0
Người thân có liên quan và nhân viên quản lýchủ chốt (*),Người thân có liên quan và nhân viên quản lýchủ chốt (*),Người thân có liên quan và nhân viên quản lýchủ chốt (*),Người thân có liên quan và nhân viên quản lýchủ chốt (*),Người thân có liên quan và nhân viên quản lýchủ chốt (*),,
Cho vay,Người thân có liên quan và nhân viên quản lýchủ chốt (*) > Cho vay,Cho vay,153.135,85.391,153135.0,85391.0
Tiền gửi không kỳ hạn tại Ngân hàng,Người thân có liên quan và nhân viên quản lýchủ chốt (*) > Tiền gửi không kỳ hạn tại Ngân hàng,Tiền gửi không kỳ hạn tại Ngân hàng,71.201,33.257,71201.0,33257.0
Tiền gửi có kỳ hạn tại Ngân hàng,Người thân có liên quan và nhân viên quản lýchủ chốt (*) > Tiền gửi có kỳ hạn tại Ngân hàng,Tiền gửi có kỳ hạn tại Ngân hàng,348.269,254.219,348269.0,254219.0
Giấy tờ có giá Ngân hàng phát hành,Người thân có liên quan và nhân viên quản lýchủ chốt (*) > Giấy tờ có giá Ngân hàng phát hành,Giấy tờ có giá Ngân hàng phát hành,20.232,3.300,20232.0,3300.0
Lãi phải thu cho vay,Người thân có liên quan và nhân viên quản lýchủ chốt (*) > Lãi phải thu cho vay,Lãi phải thu cho vay,552,470,552.0,470.0
Lãi phải trả tiền gửi có kỳ hạn tại Ngân hàng,Người thân có liên quan và nhân viên quản lýchủ chốt (*) > Lãi phải trả tiền gửi có kỳ hạn tại Ngân hàng,Lãi phải trả tiền gửi có kỳ hạn tại Ngân hàng,3.094,2.327,3094.0,2327.0
