row_label_raw,row_label_full,col_0,31/12/2025dòng,31/12/2024dòng,numeric__31/12/2025dòng,numeric__31/12/2024dòng
AUD,AUD,AUD,"17.622,00","15.886,00",17622.0,15886.0
CAD,CAD,CAD,"19.241,00","17.801,50",19241.0,17801.5
CHF,CHF,CHF,"33.206,50","28.320,50",33206.5,28320.5
DKK,DKK,DKK,"4.150,00","3.587,00",4150.0,3587.0
EUR,EUR,EUR,"30.894,50","26.578,50",30894.5,26578.5
GBP,GBP,GBP,"35.401,00","32.059,00",35401.0,32059.0
HKD,HKD,HKD,"3.394,00","3.319,00",3394.0,3319.0
JPY,JPY,JPY,"168,46","163,55",168.46,163.55
NOK,NOK,NOK,"2.620,50","2.265,00",2620.5,2265.0
SGD,SGD,SGD,"20.481,00","18.765,00",20481.0,18765.0
USD,USD,USD,"26.288,50","25.375,50",26288.5,25375.5
XAU,XAU,XAU,"500,00","500,00",500.0,500.0
