row_label_raw,row_label_full,col_0,31/12/2025triệu đồng,31/12/2024triệu đồng,numeric__31/12/2025triệu đồng,numeric__31/12/2024triệu đồng
Tiền gửi không kỳ hạn,Tiền gửi không kỳ hạn,Tiền gửi không kỳ hạn,Tiền gửi không kỳ hạn,Tiền gửi không kỳ hạn,,
Bằng VND,Tiền gửi không kỳ hạn > Bằng VND,Bằng VND,678.429,476.922,678429.0,476922.0
Bằng ngoại tệ,Tiền gửi không kỳ hạn > Bằng ngoại tệ,Bằng ngoại tệ,670.818,470.622,670818.0,470622.0
Tiền gửi có kỳ hạn,Tiền gửi có kỳ hạn,Tiền gửi có kỳ hạn,Tiền gửi có kỳ hạn,Tiền gửi có kỳ hạn,,
Bằng VND,Tiền gửi có kỳ hạn > Bằng VND,Bằng VND,55.360.000,48.900.000,55360000.0,48900000.0
Bằng ngoại tệ,Tiền gửi có kỳ hạn > Bằng ngoại tệ,Bằng ngoại tệ,2.760.293,-,2760293.0,
,,,59.469.540,49.847.544,59469540.0,49847544.0
Cho vay các TCTD khác,Cho vay các TCTD khác,Cho vay các TCTD khác,Cho vay các TCTD khác,Cho vay các TCTD khác,,
Bằng VND,Cho vay các TCTD khác > Bằng VND,Bằng VND,44.941.580,55.550.089,44941580.0,55550089.0
"Trong đó: chiết khấu, tái chiết khấu","Cho vay các TCTD khác > Trong đó: chiết khấu, tái chiết khấu","Trong đó: chiết khấu, tái chiết khấu",35.351.374,52.144.080,35351374.0,52144080.0
Bằng ngoại tệ,Cho vay các TCTD khác > Bằng ngoại tệ,Bằng ngoại tệ,-,190.883,,190883.0
,,,44.941.580,55.740.972,44941580.0,55740972.0
,,,104.411.120,105.588.516,104411120.0,105588516.0
