row_label_raw,row_label_full,col_0,Vốn điều lệ,Thăng dư vốn cổ phần,Quỹ dự trữ bổ sung vốn điều lệ,Quỹ dự phòng tài chính,Quỹ đầu tư phát triển,Đơn vị: triệu đồng,Đơn vị: triệu đồng_1,numeric__Vốn điều lệ,numeric__Thăng dư vốn cổ phần,numeric__Quỹ dự trữ bổ sung vốn điều lệ,numeric__Quỹ dự phòng tài chính,numeric__Quỹ đầu tư phát triển,numeric__Đơn vị: triệu đồng,numeric__Đơn vị: triệu đồng_1
,,,Vốn điều lệ,Thăng dư vốn cổ phần,Quỹ dự trữ bổ sung vốn điều lệ,Quỹ dự phòng tài chính,Quỹ đầu tư phát triển,Lợi nhuận chưa phân phối,Tổng cộng,,,,,,,
Số dư tại ngày 1/1/2025,Số dư tại ngày 1/1/2025,Số dư tại ngày 1/1/2025,29.791.278,1.767,438.149,3.884.639,10.556,7.735.420,41.861.809,29791278.0,1767.0,438149.0,3884639.0,10556.0,7735420.0,41861809.0
Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,-,-,-,-,-,7.285.430,7.285.430,,,,,,7285430.0,7285430.0
Trích lập các quỹ dự trữ trong năm,Trích lập các quỹ dự trữ trong năm,Trích lập các quỹ dự trữ trong năm,-,-,720.447,720.447,-,(1.440.894),-,,,720447.0,720447.0,,-1440894.0,
Trích lập quỹ phúc lợi trong năm,Trích lập quỹ phúc lợi trong năm,Trích lập quỹ phúc lợi trong năm,-,-,-,-,-,(150.000),(150.000),,,,,,-150000.0,-150000.0
Chi trả cổ tức trong năm,Chi trả cổ tức trong năm,Chi trả cổ tức trong năm,-,-,-,-,-,(2.085.389),(2.085.389),,,,,,-2085389.0,-2085389.0
Tăng vốn điều lệ,Tăng vốn điều lệ,Tăng vốn điều lệ,4.248.779,-,(425.845),-,-,(3.822.934),-,4248779.0,,-425845.0,,,-3822934.0,
Bán cổ phiếu lẻ,Bán cổ phiếu lẻ,Bán cổ phiếu lẻ,-,179,-,-,-,-,179,,179.0,,,,,179.0
Chênh lệch tỷ giá,Chênh lệch tỷ giá,Chênh lệch tỷ giá,-,-,-,-,-,-,-,,,,,,,
Điều chỉnh khác,Chênh lệch tỷ giá > Điều chỉnh khác,Điều chỉnh khác,-,-,-,(1.672),-,(5.618),(7.290),,,,-1672.0,,-5618.0,-7290.0
Số dư tại ngày 31/12/2025,Chênh lệch tỷ giá > Số dư tại ngày 31/12/2025,Số dư tại ngày 31/12/2025,34.040.057,1.946,732.751,4.603.414,10.556,7.516.015,46.904.739,34040057.0,1946.0,732751.0,4603414.0,10556.0,7516015.0,46904739.0
