row_label_raw,row_label_full,col_0,NGUỒN VỐN,Mã số,Thuyết minh,Số cuối năm,Số đầu năm,numeric__NGUỒN VỐN,numeric__Mã số,numeric__Thuyết minh,numeric__Số cuối năm,numeric__Số đầu năm
C.,C.,C.,Nợ PHẢI TRẢ,300,,2.521.929.694.612,1.874.024.056.226,,300.0,,2521929694612.0,1874024056226.0
I.,I.,I.,Nợ ngắn hạn,310,,1.293.647.930.357,517.904.040.758,,310.0,,1293647930357.0,517904040758.0
1.,1.,1.,Phải trả người bán ngắn hạn,311,13,146.095.934.134,105.469.704.645,,311.0,13.0,146095934134.0,105469704645.0
2.,2.,2.,Người mua trả tiền trước ngắn hạn,312,,240.636.582,570.636.582,,312.0,,240636582.0,570636582.0
3.,3.,3.,Thuế và các khoản phải nộp Nhà nước,313,14,132.296.698.151,163.463.300.049,,313.0,14.0,132296698151.0,163463300049.0
4.,4.,4.,Phải trả người lao động,314,,36.902.367.150,31.246.373.763,,314.0,,36902367150.0,31246373763.0
5.,5.,5.,Chỉ phí phải trả ngắn hạn,315,15,11.718.984.836,13.884.701.955,,315.0,15.0,11718984836.0,13884701955.0
6.,6.,6.,Phải trả ngắn hạn khác,319,16,845.540.888.494,868.056.425,,319.0,16.0,845540888494.0,868056425.0
7.,7.,7.,Vay và nợ thuê tài chính ngắn hạn,320,17,101.389.844.451,186.994.533.006,,320.0,17.0,101389844451.0,186994533006.0
8.,8.,8.,"Quỹ khen thưởng, phúc lợi",322,18,19.462.576.559,15.406.734.333,,322.0,18.0,19462576559.0,15406734333.0
II.,II.,II.,Nợ dài hạn,330,,1.228.281.764.255,1.356.120.015.468,,330.0,,1228281764255.0,1356120015468.0
1.,1.,1.,Vay và nợ thuê tài chính dài hạn,338,17,1.228.281.764.255,1.356.120.015.468,,338.0,17.0,1228281764255.0,1356120015468.0
D.,D.,D.,VỐN CHỦ SỞ HỮU,400,,5.159.782.395.782,6.382.558.876.724,,400.0,,5159782395782.0,6382558876724.0
I.,I.,I.,Vốn chủ sở hữu,410,19,5.159.782.395.782,6.382.558.876.724,,410.0,19.0,5159782395782.0,6382558876724.0
1.,1.,1.,Vốn góp của chủ sở hữu,411,,4.224.000.000.000,4.224.000.000.000,,411.0,,4224000000000.0,4224000000000.0
1.,1.,1.,- Cổ phiếu phổ thông có quyền biểu quyết,411a,,4.224.000.000.000,4.224.000.000.000,,,,4224000000000.0,4224000000000.0
2.,2.,2.,Vốn khác của chủ sở hữu,414,,474.908.605.377,462.732.633.103,,414.0,,474908605377.0,462732633103.0
3.,3.,3.,Quỹ đầu tư phát triển,418,,25.031.061.894,56.207.034.168,,418.0,,25031061894.0,56207034168.0
4.,4.,4.,Lợi nhuận sau thuế chưa phân phối,421,,435.842.728.511,1.639.619.209.453,,421.0,,435842728511.0,1639619209453.0
4.,4.,4.,- Lợi nhuận sau thuế chưa phân phối lũy kể đến cuối năm trước,421a,,-,159.499.212.815,,,,,159499212815.0
4.,4.,4.,- Lợi nhuận sau thuế chưa phân phối năm nay,421b,,435.842.728.511,1.480.119.996.638,,,,435842728511.0,1480119996638.0
4.,4.,4.,TỔNG CÔNG NGUỒN VỐN (440=300+400),440,,7.681.712.090.394,8.256.582.932.950,,440.0,,7681712090394.0,8256582932950.0
