row_label_raw,row_label_full,Chỉ tiêu tài chính,Năm nay,Yêu cầu,numeric__Năm nay,numeric__Yêu cầu
"Chỉ số nợ trên lợi nhuận trước lãi vay,thuế và khấu hao","Chỉ số nợ trên lợi nhuận trước lãi vay,thuế và khấu hao","Chỉ số nợ trên lợi nhuận trước lãi vay,thuế và khấu hao","0,90:1","Nhỏ hơn hoặc bằng 4,4:1",,
Chỉ số giá trị ròng tài sản hữu hình hợpnhất,Chỉ số giá trị ròng tài sản hữu hình hợpnhất,Chỉ số giá trị ròng tài sản hữu hình hợpnhất,167.071.928 USD,Lớn hơn hoặc bằng 150.000.000USD,,
Chỉ số khả năng trả nợ,Chỉ số khả năng trả nợ,Chỉ số khả năng trả nợ,"2,12:1","Lớn hơn hoặc bằng 1,2:1",,
