row_label_raw,row_label_full,Bên liên quan,Mỗi quan hệ,numeric__Mỗi quan hệ
Tập đoàn Điện lực Việt Nam,Tập đoàn Điện lực Việt Nam,Tập đoàn Điện lực Việt Nam,Công ty mẹ tối cao,
Tổng Công ty Phát điện 1,Tổng Công ty Phát điện 1,Tổng Công ty Phát điện 1,Công ty mẹ,
Công ty Cổ phần Thủy điện Hạ Sông Pha,Công ty Cổ phần Thủy điện Hạ Sông Pha,Công ty Cổ phần Thủy điện Hạ Sông Pha,Công ty con,
Công ty Mua bán điện - Tập đoàn Điện lực Việt Nam,Công ty Mua bán điện - Tập đoàn Điện lực Việt Nam,Công ty Mua bán điện - Tập đoàn Điện lực Việt Nam,Công ty trong cùng Tập đoàn,
Công ty Cổ phần Tư vấn Xây dựng Điện 2,Công ty Cổ phần Tư vấn Xây dựng Điện 2,Công ty Cổ phần Tư vấn Xây dựng Điện 2,Công ty trong cùng Tập đoàn,
Công ty Cổ phần Thủy điện A Vương,Công ty Cổ phần Thủy điện A Vương,Công ty Cổ phần Thủy điện A Vương,Công ty trong cùng Tập đoàn,
Công ty Cổ phần Thủy điện Sông Ba Hạ,Công ty Cổ phần Thủy điện Sông Ba Hạ,Công ty Cổ phần Thủy điện Sông Ba Hạ,Công ty trong cùng Tập đoàn,
Công ty Thủy điện Đại Ninh,Công ty Thủy điện Đại Ninh,Công ty Thủy điện Đại Ninh,Công ty trong cùng Tập đoàn,
Công ty Thủy điện Đồng Nai,Công ty Thủy điện Đồng Nai,Công ty Thủy điện Đồng Nai,Công ty trong cùng Tập đoàn,
Công ty Cổ phần Phong điện Thuận Bình,Công ty Cổ phần Phong điện Thuận Bình,Công ty Cổ phần Phong điện Thuận Bình,Công ty liên kết,
