row_label_raw,row_label_full,col_0,Nhà xưởngvà vật kiến trúc,Máy mócvà thiết bị,Phương tiệnvận tải,Thiết bịvăn phòng,Tài sảncố định khác,Tổng,numeric__Nhà xưởngvà vật kiến trúc,numeric__Máy mócvà thiết bị,numeric__Phương tiệnvận tải,numeric__Thiết bịvăn phòng,numeric__Tài sảncố định khác,numeric__Tổng
,,,VND,VND,VND,VND,VND,VND,,,,,,
NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,,,,,,
Số dư đầu năm,NGUYÊN GIÁ > Số dư đầu năm,Số dư đầu năm,9.026.449.139.603,5.665.943.386.894,78.148.724.111,52.293.210.136,217.380.507,14.823.051.841.251,9026449139603.0,5665943386894.0,78148724111.0,52293210136.0,217380507.0,14823051841251.0
Tăng trong năm,NGUYÊN GIÁ > Tăng trong năm,Tăng trong năm,-,7.171.545.454,-,5.004.426.820,-,12.175.972.274,,7171545454.0,,5004426820.0,,12175972274.0
Giảm trong năm,NGUYÊN GIÁ > Giảm trong năm,Giảm trong năm,(1.318.046.916),(212.999.831),-,-,-,(1.531.046.747),-1318046916.0,-212999831.0,,,,-1531046747.0
Số dư cuối năm,NGUYÊN GIÁ > Số dư cuối năm,Số dư cuối năm,9.025.131.092.687,5.672.901.932.517,78.148.724.111,57.297.636.956,217.380.507,14.833.696.766.778,9025131092687.0,5672901932517.0,78148724111.0,57297636956.0,217380507.0,14833696766778.0
GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,,,,,,
Số dư đầu năm,GIÁ TRỊ HAO MÒN LỦY KẾ > Số dư đầu năm,Số dư đầu năm,5.248.614.817.150,4.568.562.387.176,57.050.536.101,50.405.006.742,217.380.507,9.924.850.127.676,5248614817150.0,4568562387176.0,57050536101.0,50405006742.0,217380507.0,9924850127676.0
Khấu hao trong năm,GIÁ TRỊ HAO MÒN LỦY KẾ > Khấu hao trong năm,Khấu hao trong năm,196.862.092.980,152.603.478.939,4.039.335.457,1.504.297.539,-,355.009.204.915,196862092980.0,152603478939.0,4039335457.0,1504297539.0,,355009204915.0
Số dư cuối năm,GIÁ TRỊ HAO MÒN LỦY KẾ > Số dư cuối năm,Số dư cuối năm,5.445.476.910.130,4.721.165.866.115,61.089.871.558,51.909.304.281,217.380.507,10.279.859.332.591,5445476910130.0,4721165866115.0,61089871558.0,51909304281.0,217380507.0,10279859332591.0
GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,,,,,,
Số dư đầu năm,GIÁ TRỊ CÒN LẠI > Số dư đầu năm,Số dư đầu năm,3.777.834.322.453,1.097.380.999.718,21.098.188.010,1.888.203.394,-,4.898.201.713.575,3777834322453.0,1097380999718.0,21098188010.0,1888203394.0,,4898201713575.0
Số dư cuối năm,GIÁ TRỊ CÒN LẠI > Số dư cuối năm,Số dư cuối năm,3.579.654.182.557,951.736.066.402,17.058.852.553,5.388.332.675,-,4.553.837.434.187,3579654182557.0,951736066402.0,17058852553.0,5388332675.0,,4553837434187.0
