row_label_raw,row_label_full,Tên đơn vị hạch toán phụ thuộc/ công ty con/công ty liên kết > Đơn vị hạch toán phụ thuộc,Nơi thành lập và hoạt động > Đơn vị hạch toán phụ thuộc,Tỷ lệ phần sở hữu (%) > Đơn vị hạch toán phụ thuộc,Tỷ lệ nằm giữ quyền biểu quyết (%) > Đơn vị hạch toán phụ thuộc,Hoạt động chính > Đơn vị hạch toán phụ thuộc,numeric__Nơi thành lập và hoạt động > Đơn vị hạch toán phụ thuộc,numeric__Tỷ lệ phần sở hữu (%) > Đơn vị hạch toán phụ thuộc,numeric__Tỷ lệ nằm giữ quyền biểu quyết (%) > Đơn vị hạch toán phụ thuộc,numeric__Hoạt động chính > Đơn vị hạch toán phụ thuộc
Ban Quản lý Dự án Mở rộng Nhà máyThủy điện Đa Nhim,Ban Quản lý Dự án Mở rộng Nhà máyThủy điện Đa Nhim,Ban Quản lý Dự án Mở rộng Nhà máyThủy điện Đa Nhim,Ninh Thuận,,,Quản lý giai đoạn đầu tư mở rộng Nhà máy Thủy điện Đa Nhim,,,,
Công ty con,Công ty con,Công ty con,Công ty con,Công ty con,Công ty con,Công ty con,,,,
Công ty Cổ phần Thủy điện Hạ Sông Pha,Công ty con > Công ty Cổ phần Thủy điện Hạ Sông Pha,Công ty Cổ phần Thủy điện Hạ Sông Pha,Ninh Thuận,70%,70%,"Sản xuất, kinh doanh điện năng",,0.7,0.7,
Công ty liên kết,Công ty liên kết,Công ty liên kết,Công ty liên kết,Công ty liên kết,Công ty liên kết,Công ty liên kết,,,,
Công ty Cổ phần Phong điện Thuận Bình,Công ty liên kết > Công ty Cổ phần Phong điện Thuận Bình,Công ty Cổ phần Phong điện Thuận Bình,Bình Thuận,20%,20%,"Sản xuất, kinh doanh điện năng",,0.2,0.2,
