row_label_raw,row_label_full,col_0,TÀI SẢN,Mã số,Thuyết minh,Số cuối năm,Số đầu năm,numeric__TÀI SẢN,numeric__Mã số,numeric__Thuyết minh,numeric__Số cuối năm,numeric__Số đầu năm
A.,A.,A.,TÀI SẢN NGĂN HẠN,100,,2.056.438.284.866,2.203.999.726.947,,100.0,,2056438284866.0,2203999726947.0
I.,I.,I.,Tiền và các khoản tương đương tiền,110,4,526.550.425.763,1.192.156.781.826,,110.0,4.0,526550425763.0,1192156781826.0
1.,1.,1.,Tiền,111,,7.070.494.263,15.985.164.426,,111.0,,7070494263.0,15985164426.0
2.,2.,2.,Các khoản tương đương tiền,112,,519.479.931.500,1.176.171.617.400,,112.0,,519479931500.0,1176171617400.0
II.,II.,II.,Đầu tư tài chính ngắn hạn,120,5,70.000.000.000,400.000.000.000,,120.0,5.0,70000000000.0,400000000000.0
1.,1.,1.,Đầu tư nằm giữ đến ngày đáo hạn,123,,70.000.000.000,400.000.000.000,,123.0,,70000000000.0,400000000000.0
III.,III.,III.,Các khoản phải thu ngắn hạn,130,,1.417.796.391.071,574.065.015.641,,130.0,,1417796391071.0,574065015641.0
1.,1.,1.,Phải thu ngắn hạn của khách hàng,131,6,1.171.117.289.100,528.708.271.934,,131.0,6.0,1171117289100.0,528708271934.0
2.,2.,2.,Trả trước cho người bán ngắn hạn,132,,4.098.203.602,1.118.094.795,,132.0,,4098203602.0,1118094795.0
3.,3.,3.,Phải thu về cho vay ngắn hạn,135,28,200.000.000.000,-,,135.0,28.0,200000000000.0,
4.,4.,4.,Phải thu ngắn hạn khác,136,7,44.601.112.064,46.165.567.022,,136.0,7.0,44601112064.0,46165567022.0
5.,5.,5.,Dự phòng phải thu ngắn hạn khó đòi,137,8,(2.020.213.695),(1.926.918.110),,137.0,8.0,-2020213695.0,-1926918110.0
IV.,IV.,IV.,Hàng tồn kho,140,9,36.457.331.654,37.500.618.664,,140.0,9.0,36457331654.0,37500618664.0
1.,1.,1.,Hàng tồn kho,141,,36.457.331.654,37.500.618.664,,141.0,,36457331654.0,37500618664.0
V.,V.,V.,Tài sản ngắn hạn khác,150,,5.634.136.378,277.310.816,,150.0,,5634136378.0,277310816.0
1.,1.,1.,Chi phí trả trước ngắn hạn,151,12,384.308.415,277.310.816,,151.0,12.0,384308415.0,277310816.0
2.,2.,2.,Thuế và các khoản khác phải thu Nhà nước,153,14,5.249.827.963,-,,153.0,14.0,5249827963.0,
B.,B.,B.,TÀI SẢN DÀI HẠN,200,,5.625.273.805.528,6.052.583.206.003,,200.0,,5625273805528.0,6052583206003.0
I.,I.,I.,Các khoản phải thu dài hạn,210,,599.932.824.894,799.932.824.894,,210.0,,599932824894.0,799932824894.0
1.,1.,1.,Phải thu về cho vay dài hạn,215,28,599.932.824.894,799.932.824.894,,215.0,28.0,599932824894.0,799932824894.0
II.,II.,II.,Tài sản cố định,220,,4.554.501.241.725,4.899.203.801.581,,220.0,,4554501241725.0,4899203801581.0
1.,1.,1.,Tài sản cố định hữu hình,221,10,4.553.837.434.187,4.898.201.713.575,,221.0,10.0,4553837434187.0,4898201713575.0
,,,- Nguyên giá,222,,14.833.696.766.778,14.823.051.841.251,,222.0,,14833696766778.0,14823051841251.0
,,,- Giá trị hao mòn lũy kế,223,,(10.279.859.332.591),(9.924.850.127.676),,223.0,,-10279859332591.0,-9924850127676.0
2.,2.,2.,Tài sản cố định vô hình,227,,663.807.538,1.002.088.006,,227.0,,663807538.0,1002088006.0
,,,- Nguyên giá,228,,2.335.628.057,2.335.628.057,,228.0,,2335628057.0,2335628057.0
,,,- Giá trị hao mòn lũy kế,229,,(1.671.820.519),(1.333.540.051),,229.0,,-1671820519.0,-1333540051.0
III.,III.,III.,Tài sản dở dang dài hạn,240,11,100.596.498.555,18.336.877.279,,240.0,11.0,100596498555.0,18336877279.0
1.,1.,1.,Chi phí xây dựng cơ bản dở dang,242,,100.596.498.555,18.336.877.279,,242.0,,100596498555.0,18336877279.0
IV.,IV.,IV.,Đầu tư tài chính dài hạn,250,5,279.439.200.000,252.419.200.000,,250.0,5.0,279439200000.0,252419200000.0
1.,1.,1.,Đầu tư vào công ty con,251,,112.000.000.000,112.000.000.000,,251.0,,112000000000.0,112000000000.0
2.,2.,2.,Đầu tư vào công ty liên kết,252,,100.079.200.000,100.079.200.000,,252.0,,100079200000.0,100079200000.0
3.,3.,3.,Đầu tư góp vốn vào đơn vị khác,253,,37.360.000.000,37.360.000.000,,253.0,,37360000000.0,37360000000.0
4.,4.,4.,Đầu tư nằm giữ đến ngày đáo hạn,255,,30.000.000.000,2.980.000.000,,255.0,,30000000000.0,2980000000.0
V.,V.,V.,Tài sản dài hạn khác,260,,90.804.040.354,82.690.502.249,,260.0,,90804040354.0,82690502249.0
1.,1.,1.,Chi phí trả trước dài hạn,261,12,35.805.666.790,25.716.035.170,,261.0,12.0,35805666790.0,25716035170.0
2.,2.,2.,"Thiết bị, vật tư, phụ tùng thay thế dài hạn",263,9,54.998.373.564,56.974.467.079,,263.0,9.0,54998373564.0,56974467079.0
,,,TỔNG CỘNG TÀI SẢN (270=100+200),270,,7.681.712.090.394,8.256.582.932.950,,270.0,,7681712090394.0,8256582932950.0
