row_label_raw,row_label_full,b. Đầu tư góp vốn vào đơn vị khác,Số cuối năm > Giá gốc > b. Đầu tư góp vốn vào đơn vị khác,Số cuối năm > Dự phòng > b. Đầu tư góp vốn vào đơn vị khác,Số cuối năm > VND Giá trị hợp lý > b. Đầu tư góp vốn vào đơn vị khác,Số đầu năm > Giá gốc > b. Đầu tư góp vốn vào đơn vị khác,Số đầu năm > Dự phòng > b. Đầu tư góp vốn vào đơn vị khác,Số đầu năm > VND Giá trị hợp lý > b. Đầu tư góp vốn vào đơn vị khác,numeric__Số cuối năm > Giá gốc > b. Đầu tư góp vốn vào đơn vị khác,numeric__Số cuối năm > Dự phòng > b. Đầu tư góp vốn vào đơn vị khác,numeric__Số cuối năm > VND Giá trị hợp lý > b. Đầu tư góp vốn vào đơn vị khác,numeric__Số đầu năm > Giá gốc > b. Đầu tư góp vốn vào đơn vị khác,numeric__Số đầu năm > Dự phòng > b. Đầu tư góp vốn vào đơn vị khác,numeric__Số đầu năm > VND Giá trị hợp lý > b. Đầu tư góp vốn vào đơn vị khác
Đầu tư vào công ty con,Đầu tư vào công ty con,Đầu tư vào công ty con,112.000.000.000,-,,112.000.000.000,-,,112000000000.0,,,112000000000.0,,
Công ty Cổ phần Thủy điện Hạ Sông Pha (iii),Công ty Cổ phần Thủy điện Hạ Sông Pha (iii),Công ty Cổ phần Thủy điện Hạ Sông Pha (iii),112.000.000.000,-,,112.000.000.000,-,,112000000000.0,,,112000000000.0,,
Đầu tư vào công ty liên kết;,Đầu tư vào công ty liên kết;,Đầu tư vào công ty liên kết;,100.079.200.000,-,,100.079.200.000,-,,100079200000.0,,,100079200000.0,,
Công ty Cổ phần Phong điện Thuận Bình (iii),Công ty Cổ phần Phong điện Thuận Bình (iii),Công ty Cổ phần Phong điện Thuận Bình (iii),100.079.200.000,-,,100.079.200.000,-,,100079200000.0,,,100079200000.0,,
Đầu tư vào đơn vị khác,Đầu tư vào đơn vị khác,Đầu tư vào đơn vị khác,37.360.000.000,-,223.312.095.100,37.360.000.000,-,148.684.073.604,37360000000.0,,223312095100.0,37360000000.0,,148684073604.0
Công ty Cổ phần Thủy điện A Vương (iv),Công ty Cổ phần Thủy điện A Vương (iv),Công ty Cổ phần Thủy điện A Vương (iv),24.560.000.000,-,149.328.095.100,24.560.000.000,-,100.782.982.695,24560000000.0,,149328095100.0,24560000000.0,,100782982695.0
Công ty Cổ phần Thủy điện Sông Ba Hạ (iv),Công ty Cổ phần Thủy điện Sông Ba Hạ (iv),Công ty Cổ phần Thủy điện Sông Ba Hạ (iv),12.800.000.000,-,73.984.000.000,12.800.000.000,-,47.901.090.909,12800000000.0,,73984000000.0,12800000000.0,,47901090909.0
