row_label_raw,row_label_full,col_0,Số đầu năm > Giá trị,Số đầu năm > VND Số có khả năng trả nợ,Trong năm > Tăng,Trong năm > Giảm,Trong năm > VND Chênh lệch tỷ giá,Số cuối năm > Giá trị,Số cuối năm > VND Số có khả năng trả nợ,numeric__Số đầu năm > Giá trị,numeric__Số đầu năm > VND Số có khả năng trả nợ,numeric__Trong năm > Tăng,numeric__Trong năm > Giảm,numeric__Trong năm > VND Chênh lệch tỷ giá,numeric__Số cuối năm > Giá trị,numeric__Số cuối năm > VND Số có khả năng trả nợ
Công ty Tài chính Cổ phần Điện lực (i),Công ty Tài chính Cổ phần Điện lực (i),Công ty Tài chính Cổ phần Điện lực (i),914.025.856.392,914.025.856.392,-,(52.951.849.244),(39.331.462.406),821.742.544.742,821.742.544.742,914025856392.0,914025856392.0,,-52951849244.0,-39331462406.0,821742544742.0,821742544742.0
Ngân hàng Phát triển Châu Á (ii),Ngân hàng Phát triển Châu Á (ii),Ngân hàng Phát triển Châu Á (ii),629.088.692.082,629.088.692.082,-,(136.343.830.048),15.184.201.930,507.929.063.964,507.929.063.964,629088692082.0,629088692082.0,,-136343830048.0,15184201930.0,507929063964.0,507929063964.0
,,,1.543.114.548.474,1.543.114.548.474,-,(189.295.679.292),(24.147.260.476),1.329.671.608.706,1.329.671.608.706,1543114548474.0,1543114548474.0,,-189295679292.0,-24147260476.0,1329671608706.0,1329671608706.0
