row_label_raw,row_label_full,col_0,Vốn góp của chủ sở hữu,Vốn khác của chủ sở hữu,Quỹ đầu tư phát triển,Lợi nhuận sau thuế chưa phân phối,Tổng cộng,numeric__Vốn góp của chủ sở hữu,numeric__Vốn khác của chủ sở hữu,numeric__Quỹ đầu tư phát triển,numeric__Lợi nhuận sau thuế chưa phân phối,numeric__Tổng cộng
,,,VND,VND,VND,VND,VND,,,,,
Số dư đầu năm trước,Số dư đầu năm trước,Số dư đầu năm trước,4.224.000.000.000,455.508.823.103,63.430.844.168,1.672.150.255.815,6.415.089.923.086,4224000000000.0,455508823103.0,63430844168.0,1672150255815.0,6415089923086.0
Lợi nhuận trong năm,Lợi nhuận trong năm,Lợi nhuận trong năm,-,-,-,1.480.119.996.638,1.480.119.996.638,,,,1480119996638.0,1480119996638.0
Chia cổ tức,Chia cổ tức,Chia cổ tức,-,-,-,(1.478.400.000.000),(1.478.400.000.000),,,,-1478400000000.0,-1478400000000.0
Trích quỹ khen thưởng phúc lợi,Trích quỹ khen thưởng phúc lợi,Trích quỹ khen thưởng phúc lợi,-,-,-,(34.251.043.000),(34.251.043.000),,,,-34251043000.0,-34251043000.0
Chuyển nguồn hình thành tài sản cố định,Chuyển nguồn hình thành tài sản cố định,Chuyển nguồn hình thành tài sản cố định,-,7.223.810.000,(7.223.810.000),-,-,,7223810000.0,-7223810000.0,,
Số dư đầu năm nay,Số dư đầu năm nay,Số dư đầu năm nay,4.224.000.000.000,462.732.633.103,56.207.034.168,1.639.619.209.453,6.382.558.876.724,4224000000000.0,462732633103.0,56207034168.0,1639619209453.0,6382558876724.0
Lợi nhuận trong năm,Lợi nhuận trong năm,Lợi nhuận trong năm,-,-,-,1.109.931.425.058,1.109.931.425.058,,,,1109931425058.0,1109931425058.0
Chia cổ tức (i.1 & i.2),Chia cổ tức (i.1 & i.2),Chia cổ tức (i.1 & i.2),-,-,-,(2.280.960.000.000),(2.280.960.000.000),,,,-2280960000000.0,-2280960000000.0
Trích quỹ khen thưởng phúc lợi (ii),Trích quỹ khen thưởng phúc lợi (ii),Trích quỹ khen thưởng phúc lợi (ii),-,-,-,(51.747.906.000),(51.747.906.000),,,,-51747906000.0,-51747906000.0
Hoàn nhập quỹ Đầu tư phát triển (iii),Hoàn nhập quỹ Đầu tư phát triển (iii),Hoàn nhập quỹ Đầu tư phát triển (iii),,,(19.000.000.000),19.000.000.000,-,,,-19000000000.0,19000000000.0,
Chuyển nguồn hình thành tài sản cố định,Chuyển nguồn hình thành tài sản cố định,Chuyển nguồn hình thành tài sản cố định,-,12.175.972.274,(12.175.972.274),-,-,,12175972274.0,-12175972274.0,,
Số dư cuối năm nay,Số dư cuối năm nay,Số dư cuối năm nay,4.224.000.000.000,474.908.605.377,25.031.061.894,435.842.728.511,5.159.782.395.782,4224000000000.0,474908605377.0,25031061894.0,435842728511.0,5159782395782.0
