row_label_raw,row_label_full,col_0,Code,Note,31/12/2025VND'000,1/1/2025VND'000,numeric__Code,numeric__Note,numeric__31/12/2025VND'000,numeric__1/1/2025VND'000
ASSETS,ASSETS,ASSETS,ASSETS,ASSETS,ASSETS,ASSETS,,,,
Current assets(100 = 110 + 130 + 150),ASSETS > Current assets(100 = 110 + 130 + 150),Current assets(100 = 110 + 130 + 150),100,,"81,571,308","43,896,742",100.0,,,
Cash and cash equivalents,ASSETS > Cash and cash equivalents,Cash and cash equivalents,110,4,"799,820","4,701,798",110.0,4.0,799.82,
Cash,ASSETS > Cash,Cash,111,,"799,820","4,701,798",111.0,,799.82,
Accounts receivable – short-term,ASSETS > Accounts receivable – short-term,Accounts receivable – short-term,130,,"52,507,964","34,224,532",130.0,,,
Prepayments to suppliers,ASSETS > Prepayments to suppliers,Prepayments to suppliers,132,,"137,500","14,238,716",132.0,,137.5,
Other receivables,ASSETS > Other receivables,Other receivables,136,5,"52,370,464","19,985,816",136.0,5.0,,
Other current assets,ASSETS > Other current assets,Other current assets,150,,"28,263,524","4,970,412",150.0,,,
Short-term prepaid expenses,ASSETS > Short-term prepaid expenses,Short-term prepaid expenses,151,6,"21,088,563",-,151.0,6.0,,
Deductible value added tax,ASSETS > Deductible value added tax,Deductible value added tax,152,,"7,174,961","4,970,412",152.0,,,
Long term assets(200 = 210 + 220 + 250),ASSETS > Long term assets(200 = 210 + 220 + 250),Long term assets(200 = 210 + 220 + 250),200,,"13,656,476,389","13,681,535,293",200.0,,,
Accounts receivable – long-term,ASSETS > Accounts receivable – long-term,Accounts receivable – long-term,210,,"1,500,000,000","1,525,058,904",210.0,,,
Loans receivable – long-term,ASSETS > Loans receivable – long-term,Loans receivable – long-term,215,7,"1,500,000,000","1,500,000,000",215.0,7.0,,
Other long-term receivables,ASSETS > Other long-term receivables,Other long-term receivables,216,5,-,"25,058,904",216.0,5.0,,
Fixed assets,ASSETS > Fixed assets,Fixed assets,220,,-,-,220.0,,,
Intangible fixed assets,ASSETS > Intangible fixed assets,Intangible fixed assets,227,,-,-,227.0,,,
Cost,ASSETS > Cost,Cost,228,,"137,950","137,950",228.0,,137.95,137.95
Accumulated amortisation,ASSETS > Accumulated amortisation,Accumulated amortisation,229,,"(137,950)","(137,950)",229.0,,-137.95,-137.95
Long-term financial investments,ASSETS > Long-term financial investments,Long-term financial investments,250,8,"12,156,476,389","12,156,476,389",250.0,8.0,,
Investment in subsidiary,ASSETS > Investment in subsidiary,Investment in subsidiary,251,,"12,156,476,389","12,156,476,389",251.0,,,
TOTAL ASSETS (270 = 100 + 200),ASSETS > TOTAL ASSETS (270 = 100 + 200),TOTAL ASSETS (270 = 100 + 200),270,,"13,738,047,697","13,725,432,035",270.0,,,
