row_label_raw,row_label_full,col_0,2025VND'000,2024VND'000,numeric__2025VND'000,numeric__2024VND'000
Accounting profit before tax,Accounting profit before tax,Accounting profit before tax,"552,937","562,749",552.937,562.749
Tax at the Company's tax rate,Tax at the Company's tax rate,Tax at the Company's tax rate,"110,587","112,550",110.587,112.55
Non-deductible expenses,Non-deductible expenses,Non-deductible expenses,"4,816",429,4.816,429.0
(Over)/under provision in prior year,(Over)/under provision in prior year,(Over)/under provision in prior year,"(6,883)","6,883",-6.883,6.883
,,,"108,520","119,862",108.52,119.862
