row_label_raw,row_label_full,col_0,2025VND’000,2024VND’000,numeric__2025VND’000,numeric__2024VND’000
Interest income on deposits and loans,Interest income on deposits and loans,Interest income on deposits and loans,"169,990,462","70,600,825",,
Realised foreign exchange gain,Interest income on deposits and loans > Realised foreign exchange gain,Realised foreign exchange gain,"14,877","130,321",14.877,130.321
Distribution of profit from BCC,Distribution of profit from BCC,Distribution of profit from BCC,-,"174,833,737",,
,,,"170,005,339","245,564,883",,
