row_label_raw,row_label_full,Mr. Le Danny,Chairman,numeric__Chairman
Mr. Nguyen Thieu Nam,Mr. Nguyen Thieu Nam,Mr. Nguyen Thieu Nam,First Vice ChairmanNon-Executive Member,
Mr. Ashley James McAleese,Mr. Ashley James McAleese,Mr. Ashley James McAleese,Executive Member(resigned from 15/1/2026),
Ms. Nguyen Thu Hien,Ms. Nguyen Thu Hien,Ms. Nguyen Thu Hien,Independent member,
