row_label_raw,row_label_full,col_0,Code,Note,2025 VND’000,2024 VND’000,numeric__Code,numeric__Note,numeric__2025 VND’000,numeric__2024 VND’000
CASH FLOWS FROM FINANCING ACTIVITIES,CASH FLOWS FROM FINANCING ACTIVITIES,CASH FLOWS FROM FINANCING ACTIVITIES,CASH FLOWS FROM FINANCING ACTIVITIES,CASH FLOWS FROM FINANCING ACTIVITIES,CASH FLOWS FROM FINANCING ACTIVITIES,CASH FLOWS FROM FINANCING ACTIVITIES,,,,
Proceeds from equity issued,CASH FLOWS FROM FINANCING ACTIVITIES > Proceeds from equity issued,Proceeds from equity issued,31,,"6,741,000",-,31.0,,,
Proceeds from borrowings and bonds issued,CASH FLOWS FROM FINANCING ACTIVITIES > Proceeds from borrowings and bonds issued,Proceeds from borrowings and bonds issued,33,,"12,800,000","512,800,000",33.0,,,
Payments to settle loan principals and bonds,CASH FLOWS FROM FINANCING ACTIVITIES > Payments to settle loan principals and bonds,Payments to settle loan principals and bonds,34,,"(35,686,712)","(2,026,200,000)",34.0,,,
Net cash flows from financing activities,CASH FLOWS FROM FINANCING ACTIVITIES > Net cash flows from financing activities,Net cash flows from financing activities,40,,"(16,145,712)","(1,513,400,000)",40.0,,,
Net cash flows during the year (50 = 20 + 30 + 40),CASH FLOWS FROM FINANCING ACTIVITIES > Net cash flows during the year (50 = 20 + 30 + 40),Net cash flows during the year (50 = 20 + 30 + 40),50,,"(3,901,978)","2,992,442",50.0,,,
Cash and cash equivalents at the beginning of the year,CASH FLOWS FROM FINANCING ACTIVITIES > Cash and cash equivalents at the beginning of the year,Cash and cash equivalents at the beginning of the year,60,,"4,701,798","1,709,356",60.0,,,
Cash and cash equivalents at the end of the year (70 = 50 + 60),CASH FLOWS FROM FINANCING ACTIVITIES > Cash and cash equivalents at the end of the year (70 = 50 + 60),Cash and cash equivalents at the end of the year (70 = 50 + 60),70,4,"799,820","4,701,798",70.0,4.0,799.82,
