row_label_raw,row_label_full,Các bên liên quan,Bản chất của giao dịch,2025Nghìn VND,2024Nghìn VND,numeric__Bản chất của giao dịch,numeric__2025Nghìn VND,numeric__2024Nghìn VND
Công ty mẹ cấp cao nhất,Công ty mẹ cấp cao nhất,Công ty mẹ cấp cao nhất,Công ty mẹ cấp cao nhất,Công ty mẹ cấp cao nhất,Công ty mẹ cấp cao nhất,,,
Công ty Cổ phần,Công ty mẹ cấp cao nhất > Công ty Cổ phần,Công ty Cổ phần,Nhận tiền vay,-,500.000.000,,,500000000.0
Tập đoàn Masan,Công ty mẹ cấp cao nhất > Tập đoàn Masan,Tập đoàn Masan,Trả tiền vay,-,500.000.000,,,500000000.0
Tập đoàn Masan,Công ty mẹ cấp cao nhất > Tập đoàn Masan,Tập đoàn Masan,Chi phí lãi vay,-,87.671,,,87671.0
Tập đoàn Masan,Công ty mẹ cấp cao nhất > Tập đoàn Masan,Tập đoàn Masan,Mua dịch vụ,1.995.747,3.041.460,,1995747.0,3041460.0
Các công ty liên kết của công ty mẹ cấp cao nhất,Các công ty liên kết của công ty mẹ cấp cao nhất,Các công ty liên kết của công ty mẹ cấp cao nhất,Các công ty liên kết của công ty mẹ cấp cao nhất,Các công ty liên kết của công ty mẹ cấp cao nhất,Các công ty liên kết của công ty mẹ cấp cao nhất,,,
TCB và các công ty con,Các công ty liên kết của công ty mẹ cấp cao nhất > TCB và các công ty con,TCB và các công ty con,Khoản trái phiếu đã trả,-,1.500.000.000,,,1500000000.0
TCB và các công ty con,Các công ty liên kết của công ty mẹ cấp cao nhất > TCB và các công ty con,TCB và các công ty con,Lãi trái phiếu (i),2.210.933,6.774.715,,2210933.0,6774715.0
Công ty con của công ty mẹ cấp cao nhất,Công ty con của công ty mẹ cấp cao nhất,Công ty con của công ty mẹ cấp cao nhất,Công ty con của công ty mẹ cấp cao nhất,Công ty con của công ty mẹ cấp cao nhất,Công ty con của công ty mẹ cấp cao nhất,,,
Công ty Cổ phần Dịch vụ,Công ty Cổ phần Dịch vụ,Công ty Cổ phần Dịch vụ,,,,,,
Thương mại Tổng hợp,Thương mại Tổng hợp,Thương mại Tổng hợp,,,,,,
Wincommerce,Thương mại Tổng hợp > Wincommerce,Wincommerce,Lãi trái phiếu (i),102.715.069,154.684.932,,102715069.0,154684932.0
Các công ty con,Các công ty con,Các công ty con,Các công ty con,Các công ty con,Các công ty con,,,
Công ty TNHH Khai thác,Các công ty con > Công ty TNHH Khai thác,Công ty TNHH Khai thác,Phân chia lợi nhuận từ HĐHTKD,-,125.598.568,,,125598568.0
Chế biến Khoáng sản,Các công ty con > Chế biến Khoáng sản,Chế biến Khoáng sản,Cho NPM vay,-,1.500.000.000,,,1500000000.0
Núi Pháo,Các công ty con > Núi Pháo,Núi Pháo,Lãi cho vay,169.950.000,70.565.753,,169950000.0,70565753.0
Núi Pháo,Các công ty con > Núi Pháo,Núi Pháo,Nhận tiền lãi cho vay,163.745.068,45.506.849,,163745068.0,45506849.0
Núi Pháo,Các công ty con > Núi Pháo,Núi Pháo,Trả hộ cho NPM,7.812.595,21.807.021,,7812595.0,21807021.0
Núi Pháo,Các công ty con > Núi Pháo,Núi Pháo,Nhận tiền từ HĐHTKD,-,2.000.000.000,,,2000000000.0
Công ty TNHH,Các công ty con > Công ty TNHH,Công ty TNHH,Phân chia lợi nhuận từ HĐHTKD,-,49.235.169,,,49235169.0
Vonfram Masan,Các công ty con > Vonfram Masan,Vonfram Masan,Nhận tiền vay,12.800.000,12.800.000,,12800000.0,12800000.0
Vonfram Masan,Các công ty con > Vonfram Masan,Vonfram Masan,Trả tiền vay,12.800.000,26.200.000,,12800000.0,26200000.0
Vonfram Masan,Các công ty con > Vonfram Masan,Vonfram Masan,Chi phí lãi vay,601.951,1.212.493,,601951.0,1212493.0
Vonfram Masan,Các công ty con > Vonfram Masan,Vonfram Masan,Trả hộ cho MTC,8.043.357,22.633.730,,8043357.0,22633730.0
Vonfram Masan,Các công ty con > Vonfram Masan,Vonfram Masan,Nhận tiền từ HĐHTKD,-,1.000.000.000,,,1000000000.0
Cán bộ quản lý chủ chốt,Cán bộ quản lý chủ chốt,Cán bộ quản lý chủ chốt,Cán bộ quản lý chủ chốt,Cán bộ quản lý chủ chốt,Cán bộ quản lý chủ chốt,,,
,,,"Lương, thường và các phúc lợi khác (ii)",-,-,,,
