row_label_raw,row_label_full,col_0,Share capital VND'000,Share premium VND'000,Retained profits after tax VND'000,Total VND'000,numeric__Share capital VND'000,numeric__Share premium VND'000,numeric__Retained profits after tax VND'000,numeric__Total VND'000
Balance at 1/1/2024,Balance at 1/1/2024,Balance at 1/1/2024,"10,991,554,200","1,098,259,892","68,891,058","12,158,705,150",,,,
Net profit for the year,Balance at 1/1/2024 > Net profit for the year,Net profit for the year,-,-,"442,887","442,887",,,442.887,442.887
Balance at 1/1/2025,Balance at 1/1/2025,Balance at 1/1/2025,"10,991,554,200","1,098,259,892","69,333,945","12,159,148,037",,,,
Issuance of ordinary shares under the employee stock ownership plan,Balance at 1/1/2025 > Issuance of ordinary shares under the employee stock ownership plan,Issuance of ordinary shares under the employee stock ownership plan,"6,741,000","(50,000)",-,"6,691,000",,-50.0,,
Net profit for the year,Balance at 1/1/2025 > Net profit for the year,Net profit for the year,-,-,"444,417","444,417",,,444.417,444.417
Balance at 31/12/2025,Balance at 31/12/2025,Balance at 31/12/2025,"10,998,295,200","1,098,209,892","69,778,362","12,166,283,454",,,,
