row_label_raw,row_label_full,Related parties,Nature of transactions,2025VND’000,2024VND’000,numeric__Nature of transactions,numeric__2025VND’000,numeric__2024VND’000
Ultimate parent company,Ultimate parent company,Ultimate parent company,Ultimate parent company,Ultimate parent company,Ultimate parent company,,,
Masan Group Joint Stock Company,Masan Group Joint Stock Company,Masan Group Joint Stock Company,Receipt of borrowings,-,"500,000,000",,,
Masan Group Joint Stock Company,Masan Group Joint Stock Company,Masan Group Joint Stock Company,Repayment of borrowings,-,"500,000,000",,,
Masan Group Joint Stock Company,Masan Group Joint Stock Company > Masan Group Joint Stock Company,Masan Group Joint Stock Company,Interest expenses,-,"87,671",,,87.671
Masan Group Joint Stock Company,Masan Group Joint Stock Company,Masan Group Joint Stock Company,Purchase of services,"1,995,747","3,041,460",,,
Ultimate parent company’s associates,Ultimate parent company’s associates,Ultimate parent company’s associates,Ultimate parent company’s associates,Ultimate parent company’s associates,Ultimate parent company’s associates,,,
TCB and its subsidiaries,TCB and its subsidiaries,TCB and its subsidiaries,Bond paid,-,"1,500,000,000",,,
TCB and its subsidiaries,TCB and its subsidiaries,TCB and its subsidiaries,Bond interest (i),"2,210,933","6,774,715",,,
Ultimate parent company’s subsidiary,Ultimate parent company’s subsidiary,Ultimate parent company’s subsidiary,Ultimate parent company’s subsidiary,Ultimate parent company’s subsidiary,Ultimate parent company’s subsidiary,,,
Wincommerce General Commercial Services Joint Stock Company,Wincommerce General Commercial Services Joint Stock Company,Wincommerce General Commercial Services Joint Stock Company,Bond interest (i),"102,715,069","154,684,932",,,
Subsidiaries,Subsidiaries,Subsidiaries,Subsidiaries,Subsidiaries,Subsidiaries,,,
Nui Phao Mining Company Ltd.,Nui Phao Mining Company Ltd.,Nui Phao Mining Company Ltd.,Distribution of profit from BCC,-,"125,598,568",,,
Nui Phao Mining Company Ltd.,Nui Phao Mining Company Ltd.,Nui Phao Mining Company Ltd.,Loans granted to NPM,-,"1,500,000,000",,,
Nui Phao Mining Company Ltd.,Nui Phao Mining Company Ltd.,Nui Phao Mining Company Ltd.,Interest income from loans,"169,950,000","70,565,753",,,
Nui Phao Mining Company Ltd.,Nui Phao Mining Company Ltd.,Nui Phao Mining Company Ltd.,Receipt of interest income from loans,"163,745,068","45,506,849",,,
Nui Phao Mining Company Ltd.,Nui Phao Mining Company Ltd.,Nui Phao Mining Company Ltd.,Payment on behalf of NPM,"7,812,595","21,807,021",,,
Nui Phao Mining Company Ltd.,Nui Phao Mining Company Ltd.,Nui Phao Mining Company Ltd.,Receipt of cash from BCC,-,"2,000,000,000",,,
Masan Tungsten LLC,Masan Tungsten LLC,Masan Tungsten LLC,Distribution of profit from BCC,-,"49,235,169",,,
Masan Tungsten LLC,Masan Tungsten LLC,Masan Tungsten LLC,Receipt of borrowings,"12,800,000","12,800,000",,,
Masan Tungsten LLC,Masan Tungsten LLC,Masan Tungsten LLC,Repayment of borrowings,"12,800,000","26,200,000",,,
Masan Tungsten LLC,Masan Tungsten LLC > Masan Tungsten LLC,Masan Tungsten LLC,Interest expense,"601,951","1,212,493",,601.951,
Masan Tungsten LLC,Masan Tungsten LLC,Masan Tungsten LLC,Payment on behalf of MTC,"8,043,357","22,633,730",,,
Masan Tungsten LLC,Masan Tungsten LLC,Masan Tungsten LLC,Receipt of cash from BCC,-,"1,000,000,000",,,
Key management personnel,Key management personnel,Key management personnel,Key management personnel,Key management personnel,Key management personnel,,,
,,,"Salary, bonus and other benefits (ii)",-,-,,,
