row_label_raw,row_label_full,col_0,Cost and amount within payment capacity,Cost and amount within payment capacity_1,numeric__Cost and amount within payment capacity,numeric__Cost and amount within payment capacity_1
,,,31/12/2025VND’000,1/1/2025VND’000,,
Related parties,Related parties,Related parties,Related parties,Related parties,,
Masan Group Corporation – Ultimate parent company,Masan Group Corporation – Ultimate parent company,Masan Group Corporation – Ultimate parent company,"10,677,151","1,140,246",,
Other parties,Other parties,Other parties,Other parties,Other parties,,
"ERM Vietnam Co., Ltd.","ERM Vietnam Co., Ltd.","ERM Vietnam Co., Ltd.","7,113,227",-,,
Other suppliers,"ERM Vietnam Co., Ltd. > Other suppliers",Other suppliers,"795,936","1,536,601",795.936,
,,,"18,586,314","2,676,847",,
