row_label_raw,row_label_full,col_0,2025VND’000,2024VND’000,numeric__2025VND’000,numeric__2024VND’000
Current tax expense,Current tax expense,Current tax expense,Current tax expense,Current tax expense,,
Current year,Current tax expense > Current year,Current year,"115,403","112,979",115.403,112.979
(Over)/under provision in prior year,Current tax expense > (Over)/under provision in prior year,(Over)/under provision in prior year,"(6,883)","6,883",-6.883,6.883
,,,"108,520","119,862",108.52,119.862
