row_label_raw,row_label_full,Chỉ tiêu,Số đầu năm > Giá trị,Số đầu năm > Số có khả năng trả nợ,Phát sinh trong năm > Tăng,Phát sinh trong năm > Giảm,Số cuối năm > Giá trị,Số cuối năm > Số có khả năng trả nợ,numeric__Số đầu năm > Giá trị,numeric__Số đầu năm > Số có khả năng trả nợ,numeric__Phát sinh trong năm > Tăng,numeric__Phát sinh trong năm > Giảm,numeric__Số cuối năm > Giá trị,numeric__Số cuối năm > Số có khả năng trả nợ
,,,VND,VND,VND,VND,VND,VND,,,,,,
Vay ngắn hạn,Vay ngắn hạn,Vay ngắn hạn,700.000.000.000,700.000.000.000,9.189.743.994.584,8.179.743.994.584,1.710.000.000.000,1.710.000.000.000,700000000000.0,700000000000.0,9189743994584.0,8179743994584.0,1710000000000.0,1710000000000.0
Ngân hàng TMCP Kỹ thường Việt Nam - Chính nhánh Quảng Ngãi,Ngân hàng TMCP Kỹ thường Việt Nam - Chính nhánh Quảng Ngãi,Ngân hàng TMCP Kỹ thường Việt Nam - Chính nhánh Quảng Ngãi,700.000.000.000,700.000.000.000,890.000.000.000,1.590.000.000.000,-,-,700000000000.0,700000000000.0,890000000000.0,1590000000000.0,,
Ngân hàng TMCP Ngoại thường Việt Nam - Chính nhánh Quảng Ngãi,Ngân hàng TMCP Ngoại thường Việt Nam - Chính nhánh Quảng Ngãi,Ngân hàng TMCP Ngoại thường Việt Nam - Chính nhánh Quảng Ngãi,-,-,13.000.000.000,13.000.000.000,-,-,,,13000000000.0,13000000000.0,,
Ngân hàng TMCP Phát triển Tp. Hồ Chí Minh - CN Trung Tâm Kinh Doanh,Ngân hàng TMCP Phát triển Tp. Hồ Chí Minh - CN Trung Tâm Kinh Doanh,Ngân hàng TMCP Phát triển Tp. Hồ Chí Minh - CN Trung Tâm Kinh Doanh,-,-,5.703.000.000.000,4.243.000.000.000,1.460.000.000.000,1.460.000.000.000,,,5703000000000.0,4243000000000.0,1460000000000.0,1460000000000.0
Ngân hàng TMCP Công thường Việt Nam - Chính nhánh Quảng Ngãi,Ngân hàng TMCP Công thường Việt Nam - Chính nhánh Quảng Ngãi,Ngân hàng TMCP Công thường Việt Nam - Chính nhánh Quảng Ngãi,-,-,9.490.315.158,9.490.315.158,-,-,,,9490315158.0,9490315158.0,,
Ngân hàng TMCP Đầu tư và Phát triển Việt Nam - Chi nhánh Quảng Ngãi,Ngân hàng TMCP Đầu tư và Phát triển Việt Nam - Chi nhánh Quảng Ngãi,Ngân hàng TMCP Đầu tư và Phát triển Việt Nam - Chi nhánh Quảng Ngãi,-,-,2.285.000.000.000,2.285.000.000.000,-,-,,,2285000000000.0,2285000000000.0,,
Ngân hàng Sài Gòn - Hà Nội- CN Quảng Ngãi,Ngân hàng Sài Gòn - Hà Nội- CN Quảng Ngãi,Ngân hàng Sài Gòn - Hà Nội- CN Quảng Ngãi,-,-,16.121.132.920,16.121.132.920,-,-,,,16121132920.0,16121132920.0,,
Ngân hàng BNP Paribas - Chi nhánh Hà Nội,Ngân hàng BNP Paribas - Chi nhánh Hà Nội,Ngân hàng BNP Paribas - Chi nhánh Hà Nội,-,-,250.000.000.000,-,250.000.000.000,250.000.000.000,,,250000000000.0,,250000000000.0,250000000000.0
Ngân hàng TMCP Đầu tư và Phát triển Việt Nam - Chi nhánh Dung Quất,Ngân hàng TMCP Đầu tư và Phát triển Việt Nam - Chi nhánh Dung Quất,Ngân hàng TMCP Đầu tư và Phát triển Việt Nam - Chi nhánh Dung Quất,-,-,23.132.546.506,23.132.546.506,-,-,,,23132546506.0,23132546506.0,,
Vay dài hạn đến hạn trả (xem Thuyết minh số 19),Vay dài hạn đến hạn trả (xem Thuyết minh số 19),Vay dài hạn đến hạn trả (xem Thuyết minh số 19),3.152.869.362.811,3.152.869.362.811,2.729.552.258.262,2.932.714.314.910,2.949.707.306.163,2.949.707.306.163,3152869362811.0,3152869362811.0,2729552258262.0,2932714314910.0,2949707306163.0,2949707306163.0
,,,3.852.869.362.811,3.852.869.362.811,11.919.296.252.846,11.112.458.309.494,4.659.707.306.163,4.659.707.306.163,3852869362811.0,3852869362811.0,11919296252846.0,11112458309494.0,4659707306163.0,4659707306163.0
