row_label_raw,row_label_full,NGUỒN VỐN,NGUỒN VỐN_1,Mã số,Thuyết minh,Số cuối năm,Số đầu năm(Trình bày lại),numeric__NGUỒN VỐN_1,numeric__Mã số,numeric__Thuyết minh,numeric__Số cuối năm,numeric__Số đầu năm(Trình bày lại)
C.,C.,C.,NỘ PHẢI TRẢ,300,,28.820.989.713.462,30.297.532.297.406,,300.0,,28820989713462.0,30297532297406.0
I.,I.,I.,Nợ ngắn hạn,310,,17.809.683.942.520,15.776.454.279.722,,310.0,,17809683942520.0,15776454279722.0
I.,I.,I.,1. Phải trả người bán ngắn hạn,311,14,7.857.193.853.455,5.790.100.035.591,,311.0,14.0,7857193853455.0,5790100035591.0
I.,I.,I.,2. Người mua trả tiền trước ngắn hạn,312,,109.633.010,789.202.202,,312.0,,109633010.0,789202202.0
I.,I.,I.,3. Thuế và các khoản phải nộp Nhà nước,313,15,1.030.302.799.810,1.398.404.190.256,,313.0,15.0,1030302799810.0,1398404190256.0
I.,I.,I.,4. Phải trả người lao động,314,,141.129.400.374,160.894.925.277,,314.0,,141129400374.0,160894925277.0
I.,I.,I.,5. Chỉ phí phải trả ngắn hạn,315,16,894.848.965.818,114.196.719.236,,315.0,16.0,894848965818.0,114196719236.0
I.,I.,I.,6. Phải trả ngắn hạn khác,319,17,3.126.990.467.174,4.331.933.166.878,,319.0,17.0,3126990467174.0,4331933166878.0
I.,I.,I.,7. Vay và nợ thuê tài chính ngắn hạn,320,18,4.659.707.306.163,3.852.869.362.811,,320.0,18.0,4659707306163.0,3852869362811.0
I.,I.,I.,"8. Quỹ khen thưởng, phúc lợi",322,,99.401.516.716,127.266.677.471,,322.0,,99401516716.0,127266677471.0
II.,II.,II.,Nợ dài hạn,330,,11.011.305.770.942,14.521.078.017.684,,330.0,,11011305770942.0,14521078017684.0
II.,II.,II.,1. Vay và nợ thuê tài chính dài hạn,338,19,9.566.219.553.801,12.625.799.968.612,,338.0,19.0,9566219553801.0,12625799968612.0
II.,II.,II.,2. Thuế thu nhập hoãn lại phải trả,341,,16.223.772.752,12.373.991.826,,341.0,,16223772752.0,12373991826.0
II.,II.,II.,3. Dự phòng phải trả dài hạn,342,20,,697.188.266.449,,342.0,20.0,,697188266449.0
II.,II.,II.,4. Quỹ phát triển khoa học và công nghệ,343,21,1.428.862.444.389,1.185.715.790.797,,343.0,21.0,1428862444389.0,1185715790797.0
D.,D.,D.,VỐN CHỦ SỞ HỮU,400,,34.439.804.735.189,32.883.849.825.496,,400.0,,34439804735189.0,32883849825496.0
I.,I.,I.,Vốn chủ sở hữu,410,22,34.439.804.735.189,32.883.849.825.496,,410.0,22.0,34439804735189.0,32883849825496.0
I.,I.,I.,1. Vốn góp của chủ sở hữu,411,,28.601.997.800.456,29.315.353.320.260,,411.0,,28601997800456.0,29315353320260.0
I.,I.,I.,2. Quỹ đầu tư phát triển,418,,5.678.070.184.705,3.365.070.184.705,,418.0,,5678070184705.0,3365070184705.0
I.,I.,I.,3. Quỹ khác thuộc vốn chủ sở hữu,420,,106.709.914,106.709.914,,420.0,,106709914.0,106709914.0
I.,I.,I.,4. (Lỗ) lũy kế chưa phân phối,421,,(6.338.366.429),(2.946.634.406),,421.0,,-6338366429.0,-2946634406.0
I.,I.,I.,- (Lỗ) lũy kế đến cuối năm trước,421a,,(2.946.634.406),1.401.688.743,,,,-2946634406.0,1401688743.0
I.,I.,I.,- (Lỗ) lũy kế năm nay,421b,,(3.391.732.023),(4.348.323.149),,,,-3391732023.0,-4348323149.0
I.,I.,I.,5. Lợi ích cố đông không kiểm soát,429,,165.968.406.543,206.266.245.023,,429.0,,165968406543.0,206266245023.0
TỔNG CỘNG NGUỒN VỐN (440=300+400),TỔNG CỘNG NGUỒN VỐN (440=300+400),TỔNG CỘNG NGUỒN VỐN (440=300+400),TỔNG CỘNG NGUỒN VỐN (440=300+400),440,,63.260.780.487.599,63.181.382.122.907,,440.0,,63260780487599.0,63181382122907.0
