row_label_raw,row_label_full,Tập đoàn Dầu khí Việt Nam (i),Số cuối nămVND > 2.941.062.616.325,Số đầu năm(Trình bày lai)VND > 4.153.686.717.039,numeric__Số cuối nămVND > 2.941.062.616.325,numeric__Số đầu năm(Trình bày lai)VND > 4.153.686.717.039
Ban quản lý Dự án Nhà máy Lọc dầu DungQuất (ii),Ban quản lý Dự án Nhà máy Lọc dầu DungQuất (ii),Ban quản lý Dự án Nhà máy Lọc dầu DungQuất (ii),170.465.427.043,169.509.265.435,170465427043.0,169509265435.0
"Nhận ký quỹ, ký cược ngăn hạn","Nhận ký quỹ, ký cược ngăn hạn","Nhận ký quỹ, ký cược ngăn hạn",6.425.282.385,2.644.805.600,6425282385.0,2644805600.0
Các khoản phải trả ngăn hạn khác,Các khoản phải trả ngăn hạn khác,Các khoản phải trả ngăn hạn khác,9.037.141.421,6.092.378.804,9037141421.0,6092378804.0
,,,3.126.990.467.174,4.331.933.166.878,3126990467174.0,4331933166878.0
