row_label_raw,row_label_full,TÀI SẢN,Mã số,Thuyết minh,Số cuối năm,Số đầu năm(Trình bày lại),numeric__Mã số,numeric__Thuyết minh,numeric__Số cuối năm,numeric__Số đầu năm(Trình bày lại)
A. TÀI SẢN NGĂN HẠN,A. TÀI SẢN NGĂN HẠN,A. TÀI SẢN NGĂN HẠN,100,,31.835.137.192.265,30.187.989.401.843,100.0,,31835137192265.0,30187989401843.0
I. Tiền và các khoản tương đương tiền,I. Tiền và các khoản tương đương tiền,I. Tiền và các khoản tương đương tiền,110,4,12.591.057.247.996,12.784.487.396.432,110.0,4.0,12591057247996.0,12784487396432.0
1. Tiền,1. Tiền,1. Tiền,111,,1.001.324.871.037,819.255.019.473,111.0,,1001324871037.0,819255019473.0
2. Các khoản tương đương tiền,2. Các khoản tương đương tiền,2. Các khoản tương đương tiền,112,,11.589.732.376.959,11.965.232.376.959,112.0,,11589732376959.0,11965232376959.0
II. Đầu tư tài chính ngắn hạn,II. Đầu tư tài chính ngắn hạn,II. Đầu tư tài chính ngắn hạn,120,,4.300.000.000,4.300.000.000,120.0,,4300000000.0,4300000000.0
1. Đầu tư nằm giữ đến ngày đáo hạn,1. Đầu tư nằm giữ đến ngày đáo hạn,1. Đầu tư nằm giữ đến ngày đáo hạn,123,5,4.300.000.000,4.300.000.000,123.0,5.0,4300000000.0,4300000000.0
III. Các khoản phải thu ngắn hạn,III. Các khoản phải thu ngắn hạn,III. Các khoản phải thu ngắn hạn,130,,11.103.428.286.635,10.493.651.023.643,130.0,,11103428286635.0,10493651023643.0
1. Phải thu ngắn hạn của khách hàng,1. Phải thu ngắn hạn của khách hàng,1. Phải thu ngắn hạn của khách hàng,131,6,10.756.168.481.544,9.749.150.360.058,131.0,6.0,10756168481544.0,9749150360058.0
2. Trả trước cho người bán ngắn hạn,2. Trả trước cho người bán ngắn hạn,2. Trả trước cho người bán ngắn hạn,132,7,277.104.946.601,642.578.161.851,132.0,7.0,277104946601.0,642578161851.0
3. Phải thu ngắn hạn khác,3. Phải thu ngắn hạn khác,3. Phải thu ngắn hạn khác,136,8,68.195.853.191,89.983.405.663,136.0,8.0,68195853191.0,89983405663.0
4. Dự phòng phải thu ngắn hạn khó đòi,4. Dự phòng phải thu ngắn hạn khó đòi,4. Dự phòng phải thu ngắn hạn khó đòi,137,,(1.125.497.071),(1.082.436.451),137.0,,-1125497071.0,-1082436451.0
5. Tài sản thiếu chờ xử lý,5. Tài sản thiếu chờ xử lý,5. Tài sản thiếu chờ xử lý,139,,3.084.502.370,13.021.532.522,139.0,,3084502370.0,13021532522.0
IV. Hàng tồn kho,IV. Hàng tồn kho,IV. Hàng tồn kho,140,9,8.042.898.581.193,6.805.220.928.631,140.0,9.0,8042898581193.0,6805220928631.0
1. Hàng tồn kho,1. Hàng tồn kho,1. Hàng tồn kho,141,,8.139.311.457.689,6.870.536.700.676,141.0,,8139311457689.0,6870536700676.0
2. Dự phòng giảm giá hàng tồn kho,2. Dự phòng giảm giá hàng tồn kho,2. Dự phòng giảm giá hàng tồn kho,149,,(96.412.876.496),(65.315.772.045),149.0,,-96412876496.0,-65315772045.0
V. Tài sản ngắn hạn khác,V. Tài sản ngắn hạn khác,V. Tài sản ngắn hạn khác,150,,93.453.076.441,100.330.053.137,150.0,,93453076441.0,100330053137.0
1. Chỉ phí trả trước ngắn hạn,1. Chỉ phí trả trước ngắn hạn,1. Chỉ phí trả trước ngắn hạn,151,10,89.891.860.178,94.730.619.340,151.0,10.0,89891860178.0,94730619340.0
2. Thuế giá trị gia tăng được khấu trừ,2. Thuế giá trị gia tăng được khấu trừ,2. Thuế giá trị gia tăng được khấu trừ,152,,164.767.125,371.059.668,152.0,,164767125.0,371059668.0
3. Thuế và các khoản khác phải thu Nhà nước,3. Thuế và các khoản khác phải thu Nhà nước,3. Thuế và các khoản khác phải thu Nhà nước,153,15,3.396.449.138,5.228.374.129,153.0,15.0,3396449138.0,5228374129.0
B. TÀI SẢN DÀI HẠN,B. TÀI SẢN DÀI HẠN,B. TÀI SẢN DÀI HẠN,200,,31.425.657.256.386,32.993.392.721.059,200.0,,31425657256386.0,32993392721059.0
I. Các khoản phải thu dài hạn,I. Các khoản phải thu dài hạn,I. Các khoản phải thu dài hạn,210,,483.215.132.617,-,210.0,,483215132617.0,
1. Trả trước cho người bán dài hạn,1. Trả trước cho người bán dài hạn,1. Trả trước cho người bán dài hạn,212,7,483.215.132.617,-,212.0,7.0,483215132617.0,
II. Tài sản cố định,II. Tài sản cố định,II. Tài sản cố định,220,,29.506.556.909.530,31.752.177.412.998,220.0,,29506556909530.0,31752177412998.0
1. Tài sản cố định hữu hình,1. Tài sản cố định hữu hình,1. Tài sản cố định hữu hình,221,11,29.110.801.058.692,31.402.127.211.642,221.0,11.0,29110801058692.0,31402127211642.0
- Nguyên giá,- Nguyên giá,- Nguyên giá,222,,46.769.797.561.460,46.542.278.498.451,222.0,,46769797561460.0,46542278498451.0
- Giá trị hao mòn lũy kế,- Giá trị hao mòn lũy kế,- Giá trị hao mòn lũy kế,223,,(17.658.996.502.768),(15.140.151.286.809),223.0,,-17658996502768.0,-15140151286809.0
2. Tài sản cố định vô hình,2. Tài sản cố định vô hình,2. Tài sản cố định vô hình,227,12,395.755.850.838,350.050.201.356,227.0,12.0,395755850838.0,350050201356.0
- Nguyên giá,- Nguyên giá,- Nguyên giá,228,,682.615.115.495,575.480.559.248,228.0,,682615115495.0,575480559248.0
- Giá trị hao mòn lũy kế,- Giá trị hao mòn lũy kế,- Giá trị hao mòn lũy kế,229,,(286.859.264.657),(225.430.357.892),229.0,,-286859264657.0,-225430357892.0
III. Tài sản dở dang dài hạn,III. Tài sản dở dang dài hạn,III. Tài sản dở dang dài hạn,240,,1.066.937.323.006,789.571.744.398,240.0,,1066937323006.0,789571744398.0
1. Chỉ phí xây dựng cơ bản dở dang,1. Chỉ phí xây dựng cơ bản dở dang,1. Chỉ phí xây dựng cơ bản dở dang,242,13,1.066.937.323.006,789.571.744.398,242.0,13.0,1066937323006.0,789571744398.0
IV. Đầu tư tài chính dài hạn,IV. Đầu tư tài chính dài hạn,IV. Đầu tư tài chính dài hạn,250,,11.244.000.000,11.244.000.000,250.0,,11244000000.0,11244000000.0
1. Đầu tư góp vốn vào đơn vị khác,1. Đầu tư góp vốn vào đơn vị khác,1. Đầu tư góp vốn vào đơn vị khác,253,5,11.244.000.000,11.244.000.000,253.0,5.0,11244000000.0,11244000000.0
V. Tài sản dài hạn khác,V. Tài sản dài hạn khác,V. Tài sản dài hạn khác,260,,357.703.891.233,440.399.563.663,260.0,,357703891233.0,440399563663.0
1. Chỉ phí trả trước dài hạn,1. Chỉ phí trả trước dài hạn,1. Chỉ phí trả trước dài hạn,261,10,357.684.152.176,440.399.563.663,261.0,10.0,357684152176.0,440399563663.0
2. Tài sản thuê thu nhập hoãn lại,2. Tài sản thuê thu nhập hoãn lại,2. Tài sản thuê thu nhập hoãn lại,262,,19.739.057,-,262.0,,19739057.0,
TỔNG CỘNG TÀI SẢN (270=100+200),TỔNG CỘNG TÀI SẢN (270=100+200),TỔNG CỘNG TÀI SẢN (270=100+200),270,,63.260.794.448.651,63.181.382.122.902,270.0,,63260794448651.0,63181382122902.0
