row_label_raw,row_label_full,Chỉ tiêu,Số đầu năm(Trình bày lại),Số phải nộptrong năm,Số đã nộptrong năm,Số cuối năm,numeric__Số đầu năm(Trình bày lại),numeric__Số phải nộptrong năm,numeric__Số đã nộptrong năm,numeric__Số cuối năm
,,,VND,VND,VND,VND,,,,
Thuế giá trị gia tăng,Thuế giá trị gia tăng,Thuế giá trị gia tăng,584.265.954.081,5.449.975.217.437,5.700.806.512.944,333.434.658.574,584265954081.0,5449975217437.0,5700806512944.0,333434658574.0
- Thuế GTGT đầu ra,- Thuế GTGT đầu ra,- Thuế GTGT đầu ra,584.265.954.081,4.744.398.483.270,4.995.229.778.777,333.434.658.574,584265954081.0,4744398483270.0,4995229778777.0,333434658574.0
- Thuế GTGT hàng nhập khẩu,- Thuế GTGT hàng nhập khẩu,- Thuế GTGT hàng nhập khẩu,-,705.576.734.167,705.576.734.167,-,,705576734167.0,705576734167.0,
Thuế tiêu thụ đặc biệt,Thuế tiêu thụ đặc biệt,Thuế tiêu thụ đặc biệt,394.864.074.757,3.745.645.481.942,3.605.684.646.300,534.824.910.399,394864074757.0,3745645481942.0,3605684646300.0,534824910399.0
Thuế nhập khẩu,Thuế nhập khẩu,Thuế nhập khẩu,(686.755.598),17.762.066.684,16.564.357.913,510.953.173,-686755598.0,17762066684.0,16564357913.0,510953173.0
Thuế thu nhập doanh nghiệp,Thuế thu nhập doanh nghiệp,Thuế thu nhập doanh nghiệp,250.597.000.393,433.696.647.412,543.256.152.000,141.037.495.805,250597000393.0,433696647412.0,543256152000.0,141037495805.0
Các khoản thu điều tiết,Các khoản thu điều tiết,Các khoản thu điều tiết,149.486.230.684,-,149.486.230.684,-,149486230684.0,,149486230684.0,
"Phí, lệ phí, các khoản phải nộp khác","Phí, lệ phí, các khoản phải nộp khác","Phí, lệ phí, các khoản phải nộp khác",14.649.311.810,235.333.057.554,232.884.036.643,17.098.332.721,14649311810.0,235333057554.0,232884036643.0,17098332721.0
Thuế nhà đất,Thuế nhà đất,Thuế nhà đất,-,643.358.891,643.358.891,-,,643358891.0,643358891.0,
Thuế thu nhập cá nhân,Thuế thu nhập cá nhân,Thuế thu nhập cá nhân,2.805.310.663,25.252.454.903,17.111.970.277,10.945.795.289,2805310663.0,25252454903.0,17111970277.0,10945795289.0
Thuế môn bài,Thuế môn bài,Thuế môn bài,-,10.000.000,10.000.000,-,,10000000.0,10000000.0,
Các loại thuế khác,Các loại thuế khác,Các loại thuế khác,11.768.491.489,209.423.463.760,215.114.927.475,6.077.027.774,11768491489.0,209423463760.0,215114927475.0,6077027774.0
"Các khoản phí, lệ phí","Các khoản phí, lệ phí","Các khoản phí, lệ phí",75.509.658,3.780.000,3.780.000,75.509.658,75509658.0,3780000.0,3780000.0,75509658.0
,,,1.393.175.816.127,9.882.412.471.029,10.248.681.936.484,1.026.906.350.672,1393175816127.0,9882412471029.0,10248681936484.0,1026906350672.0
Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,,,,
Thuế và các khoản khác phải thu Nhà nước,Trong đó: > Thuế và các khoản khác phải thu Nhà nước,Thuế và các khoản khác phải thu Nhà nước,5.228.374.129,,,3.396.449.138,5228374129.0,,,3396449138.0
Thuế và các khoản phải nộp Nhà nước,Trong đó: > Thuế và các khoản phải nộp Nhà nước,Thuế và các khoản phải nộp Nhà nước,1.398.404.190.256,,,1.030.302.799.810,1398404190256.0,,,1030302799810.0
