row_label_raw,row_label_full,col_0,Sản phẩmloc hóa dầuVND,Nhiên liệusinh họcVND,Sản xuất bao bì vàthường mai dịch vụVND,Loại trừ nội bộVND,Tổng côngVND,numeric__Sản phẩmloc hóa dầuVND,numeric__Nhiên liệusinh họcVND,numeric__Sản xuất bao bì vàthường mai dịch vụVND,numeric__Loại trừ nội bộVND,numeric__Tổng côngVND
Tài sản (Trình bày lại),Tài sản (Trình bày lại),Tài sản (Trình bày lại),Tài sản (Trình bày lại),Tài sản (Trình bày lại),Tài sản (Trình bày lại),Tài sản (Trình bày lại),Tài sản (Trình bày lại),,,,,
Tài sản bộ phận,Tài sản (Trình bày lại) > Tài sản bộ phận,Tài sản bộ phận,61.810.272.618.705,1.653.308.690.591,252.699.102.894,(534.898.289.288),63.181.382.122.902,61810272618705.0,1653308690591.0,252699102894.0,-534898289288.0,63181382122902.0
Tổng tài sản hợp nhất,Tài sản (Trình bày lại) > Tổng tài sản hợp nhất,Tổng tài sản hợp nhất,61.810.272.618.705,1.653.308.690.591,252.699.102.894,(534.898.289.288),63.181.382.122.902,61810272618705.0,1653308690591.0,252699102894.0,-534898289288.0,63181382122902.0
Nợ phải trả (Trình bày lại),Nợ phải trả (Trình bày lại),Nợ phải trả (Trình bày lại),Nợ phải trả (Trình bày lại),Nợ phải trả (Trình bày lại),Nợ phải trả (Trình bày lại),Nợ phải trả (Trình bày lại),Nợ phải trả (Trình bày lại),,,,,
Nợ phải trả bộ phận,Nợ phải trả (Trình bày lại) > Nợ phải trả bộ phận,Nợ phải trả bộ phận,29.132.289.548.715,1.146.827.830.778,63.094.425.705,(44.679.507.792),30.297.532.297.406,29132289548715.0,1146827830778.0,63094425705.0,-44679507792.0,30297532297406.0
Tổng nợ phải trả hợp nhất,Nợ phải trả (Trình bày lại) > Tổng nợ phải trả hợp nhất,Tổng nợ phải trả hợp nhất,29.132.289.548.715,1.146.827.830.778,63.094.425.705,(44.679.507.792),30.297.532.297.406,29132289548715.0,1146827830778.0,63094425705.0,-44679507792.0,30297532297406.0
